iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
897,0,0,True,False,,0.0,3,3,,0,3,35.4694355273444,"[9.691376724183371, 18.827321065891052, 6.950737737269981]",16.833079855664316,"[4.779636922431514, 8.34265521569751, 3.710787717535293]",21.260111970567944,0.0,[],11.2914436685215,0.0,0.0,0.0,"[5.4141392611960875, 3.673472065769559, 2.203832341555854]",[],"[0.0, 0.0, 0.0]",[],"[11.318305797938685, 6.8550565788963045, 3.0867495937329585]"
897,0,1,True,True,1.0,4.99,4,4,True,0,4,47.167990623653104,"[17.11145670766171, 15.850881179118105, 4.684869914361999, 9.520782822511293]",22.395516343224713,"[7.673468115988067, 7.181843659856061, 2.82709926660118, 4.713105300779405]",48.22940721640002,0.0,[],22.809468814396006,0.0,18.80946881439601,0.0,"[3.3585962013512445, 5.570913248441962, 7.879277665336492, 6.00068169926631]",[],"[2.3585962013512445, 4.570913248441962, 6.879277665336492, 5.00068169926631]",[],"[6.047682567567294, 11.720290380620416, 17.6391735008628, 12.822260767349512]"
897,0,2,True,True,1.0,4.99,4,4,True,2,6,43.11681036317998,"[19.553002175901867, 8.54630894276316, 8.64347789218228, 6.374021352332669]",20.815556041640193,"[8.625670848601729, 4.333060487677633, 4.37095637795109, 3.485868327409741]",42.39723591499855,17.56966146661125,"[7.735899953725962, 9.833761512885287]",20.534922006849435,8.852167971978389,16.534922006849435,6.852167971978387,"[3.3219240233369765, 4.352901958941197, 6.982583520678874, 5.877512503892387]","[4.017000981953125, 4.835166990025263]","[2.3219240233369765, 3.352901958941197, 5.982583520678874, 4.877512503892387]","[3.0170009819531254, 3.8351669900252623]","[5.953651341889683, 8.597184510105633, 15.339957745330446, 12.506442317672786]"
897,0,3,True,False,,0.0,2,2,,0,2,10.747647895915884,"[3.2025182265230754, 7.545129669392809]",6.191582679407195,"[2.2489821083439994, 3.9426005710631955]",31.32026706526375,0.0,[],14.214904155452862,0.0,0.0,0.0,"[8.77769766157293, 5.437206493879932]",[],"[0.0, 0.0]",[],"[19.942814516853666, 11.377452548410083]"
897,0,4,True,True,1.0,4.99,4,4,True,2,6,54.60885468457299,"[7.0309435190199885, 7.778880999080139, 17.15030523574769, 22.648724930725173]",25.297453326983465,"[3.7420679724177957, 4.033763589641254, 7.6886190419416, 9.833002722982817]",37.17008785434242,19.950534179118396,"[6.765699751974476, 13.18483442714392]",18.496334263193546,9.780708329856175,14.496334263193544,7.780708329856175,"[5.256886355566086, 6.464665263987985, 3.8155682912630264, 2.9592143523764474]","[3.6386229032700457, 6.142085426586129]","[4.256886355566086, 5.464665263987985, 2.8155682912630264, 1.9592143523764471]","[2.6386229032700457, 5.142085426586129]","[10.91509321940022, 14.011962215353808, 7.219405875033401, 5.023626544554992]"
897,0,5,True,True,1.0,4.99,5,5,True,2,7,52.632879321977114,"[17.450204815627096, 12.354402957708396, 4.856713033956837, 10.853365986965105, 7.118192527719685]",25.526822935571076,"[7.8055798780945675, 5.818217153506275, 2.8941180832431668, 5.232812734916391, 3.7760950858106774]",36.64889588738684,9.532097040579428,"[5.899408080514981, 3.632688960064448]",19.293069396080874,5.717517845825977,14.293069396080872,3.717517845825977,"[6.35371868485423, 1.975, 3.208233987705305, 3.386152389709859, 4.369964333811476]","[3.3007691514008424, 2.4167486944251344]","[5.35371868485423, 0.9750000000000001, 2.208233987705305, 2.386152389709859, 3.3699643338114753]","[2.3007691514008424, 1.4167486944251346]","[13.727483807318539, 2.5, 5.662138430013602, 6.118339460794511, 8.640934189260193]"
897,0,6,True,False,,0.0,1,1,,0,1,24.008592638827988,[24.008592638827988],10.363351129142915,[10.363351129142915],8.129145302608348,0.0,[],4.170366668017256,0.0,0.0,0.0,[4.170366668017256],[],[0.0],[],[8.129145302608348]
897,0,7,True,True,1.0,4.99,4,4,True,0,4,26.529512580132355,"[7.758318707890362, 8.702862986424805, 4.9777746616137, 5.090556224203488]",14.346509906251619,"[4.025744296077241, 4.394116564705675, 2.941332118029343, 2.9853169274393605]",37.028881763982845,0.0,[],18.441263887953312,0.0,14.44126388795331,0.0,"[2.444576504595415, 7.422720233184355, 5.722959743660294, 2.8510074065132454]",[],"[1.444576504595415, 6.422720233184355, 4.722959743660294, 1.8510074065132454]",[],"[3.7040423194754233, 16.468513418421423, 12.110153188872548, 4.746172837213449]"
897,0,8,True,False,,0.0,2,2,,0,2,23.479179603198965,"[12.829079942681723, 10.65009966051724]",11.156880045247597,"[6.003341177645872, 5.153538867601724]",28.75209826828945,0.0,[],13.213318324632887,0.0,0.0,0.0,"[6.995788799736489, 6.217529524896398]",[],"[0.0, 0.0]",[],"[15.373817435221765, 13.378280833067686]"
897,0,9,True,False,,0.0,3,3,,0,3,16.520767326801863,"[5.603717739202446, 8.417049587599417, 2.5]",9.443099257452726,"[3.185449918288954, 4.282649339163773, 1.975]",23.609796837169142,0.0,[],12.207820766495967,0.0,0.0,0.0,"[2.5714854709081028, 6.432066284313696, 3.2042690112741674]",[],"[0.0, 0.0, 0.0]",[],"[4.029449925405391, 13.928375087983836, 5.651971823779917]"
897,0,10,True,False,,0.0,2,2,,0,2,20.758010770133133,"[8.161388989195432, 12.596621780937703]",10.095624200351923,"[4.182941705786218, 5.912682494565704]",19.590332865989005,0.0,[],9.640229817735712,0.0,0.0,0.0,"[5.702500335953947, 3.9377294817817643]",[],"[0.0, 0.0]",[],"[12.057693169112685, 7.532639696876318]"
897,0,11,True,True,1.0,4.99,4,4,True,1,5,33.43757297545419,"[2.5, 7.725022038288429, 11.673598892884318, 11.53895204428144]",17.040653460427134,"[1.975, 4.012758594932487, 5.552703568224884, 5.500191297269762]",44.55572019140851,11.76329760341023,[11.76329760341023],21.37673087464932,5.58768606532999,17.37673087464932,4.58768606532999,"[7.235599751278654, 1.975, 5.005730259873015, 7.160400863497651]",[5.58768606532999],"[6.235599751278654, 0.9750000000000001, 4.005730259873015, 6.160400863497651]",[4.58768606532999],"[15.988717310970907, 2.5, 10.271103230443629, 15.795899649993977]"
897,0,12,True,False,,0.0,1,1,,0,1,6.4865125855867705,[6.4865125855867705],3.5297399083788408,[3.5297399083788408],10.720579383908976,0.0,[],5.181025959724501,0.0,0.0,0.0,[5.181025959724501],[],[0.0],[],[10.720579383908976]
897,0,13,True,False,,0.0,1,1,,0,1,5.97013591095547,[5.97013591095547],3.3283530052726333,[3.3283530052726333],7.455706134603758,0.0,[],3.9077253924954656,0.0,0.0,0.0,[3.9077253924954656],[],[0.0],[],[7.455706134603758]
897,0,14,True,True,1.0,4.99,6,6,True,1,7,47.82020603089573,"[17.242347367573934, 10.616384471078126, 2.5, 4.639231348305339, 4.572201518355207, 8.250041325583124]",24.649880352049337,"[7.724515473353835, 5.14038994372047, 1.975, 2.809300225839082, 2.783158592158531, 4.217516116977419]",58.51185424094379,12.58166401076196,[12.58166401076196],28.81962315396808,5.906848964197165,22.81962315396808,4.906848964197165,"[4.908862626556832, 3.2692586555760714, 2.4379366973545284, 7.518924770571555, 8.709640403909091, 1.975]",[5.906848964197165],"[3.9088626265568323, 2.2692586555760714, 1.4379366973545287, 6.518924770571555, 7.7096404039090904, 0.9750000000000001]",[4.906848964197165],"[10.022724683479057, 5.818611937374542, 3.6870171727039196, 16.715191719414243, 19.768308727972027, 2.5]"
897,0,15,True,True,1.0,4.99,5,5,True,1,6,44.63017709309952,"[18.45426352199118, 6.330264947026177, 8.16507840438579, 7.496183159303925, 4.184387060392443]",22.405769066308814,"[8.197162773576562, 3.468803329340209, 4.184380577710458, 3.9235114321285307, 2.631910953553053]",60.207280644800235,6.506762866750335,[6.506762866750335],28.480839451472097,3.5376375180326307,23.480839451472097,2.5376375180326307,"[8.247140494497149, 4.925105334615591, 4.111576538201616, 4.96085328474654, 6.236163799411198]",[3.5376375180326307],"[7.24714049449715, 3.925105334615591, 3.111576538201616, 3.9608532847465403, 5.236163799411198]",[2.5376375180326307],"[18.582411524351667, 10.06437265286049, 7.978401380004144, 10.156034063452667, 13.426061024131275]"
897,0,16,True,False,,0.0,3,3,,0,3,26.25824479974186,"[8.866413704367593, 5.536408082904187, 11.85542301247008]",13.240715471899327,"[4.4579013447033615, 3.1591991523326333, 5.623614974863331]",27.977591384486686,0.0,[],13.911260639949809,0.0,0.0,0.0,"[3.658854772255928, 6.382217013226702, 3.870188854467178]",[],"[0.0, 0.0, 0.0]",[],"[6.817576339117764, 13.800556444171031, 7.359458601197892]"
897,0,17,True,True,1.0,4.99,6,6,True,3,9,83.51011763284511,"[18.229166040510744, 8.761878212320912, 21.9014251333776, 17.62679334455068, 9.950122731256542, 7.040732170828628]",38.56894587680959,"[8.109374755799191, 4.417132502805156, 9.541555802017264, 7.874449404374766, 4.880547865190051, 3.745885546623165]",46.53908348654721,25.417215818412856,"[10.794605911332956, 7.802906193293116, 6.819703713786783]",24.150242559753416,12.912714169181013,18.150242559753416,9.912714169181015,"[4.872709111936977, 3.4701299438696562, 2.91452955056196, 4.763715329116021, 2.591557606810429, 5.537601017458369]","[5.2098963054198535, 4.0431334153843155, 3.6596844483768454]","[3.872709111936978, 2.4701299438696562, 1.91452955056196, 3.7637153291160215, 1.591557606810429, 4.537601017458369]","[4.2098963054198535, 3.0431334153843155, 2.6596844483768454]","[9.930023363940968, 6.333666522742708, 4.909050129646051, 9.650552125938516, 4.080916940539561, 11.634874403739408]"
897,0,18,True,False,,0.0,1,1,,0,1,9.984904065101508,[9.984904065101508],4.894112585389589,[4.894112585389589],9.618259114259283,0.0,[],4.75112105456112,0.0,0.0,0.0,[4.75112105456112],[],[0.0],[],[9.618259114259283]
