iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
493,0,0,True,True,1.0,4.99,4,4,True,2,6,49.4025403986009,"[7.982366431317427, 13.169552101828442, 7.944489031235017, 20.306132834220016]",23.26699075545435,"[4.113122908213796, 6.136125319713092, 4.098350722181657, 8.919391805345807]",31.08602694774681,5.26617759220556,"[2.7015159132525834, 2.564661678952977]",16.123550509621257,4.053809260960168,12.123550509621257,2.0538092609601684,"[5.487837908823818, 2.6568598543196087, 4.9470326610096595, 3.03182008546817]","[2.0535912061685075, 2.0002180547916613]","[4.487837908823818, 1.6568598543196087, 3.9470326610096595, 2.03182008546817]","[1.0535912061685075, 1.000218054791661]","[11.50727668929184, 4.248358600819509, 10.120596566691434, 5.209795090944025]"
493,0,1,True,True,1.0,4.99,4,4,,1,5,32.92707213379393,"[5.8244728666608525, 10.996178996858818, 6.1686100548493705, 9.937810215424884]",16.841558132179628,"[3.2715444179977324, 5.288509808774939, 3.4057579213912548, 4.875745984015705]",25.576418891984076,2.5396695517121124,[2.5396695517121124],13.97480336787379,1.9904711251677238,9.97480336787379,0.9904711251677238,"[3.102736962409551, 3.9864812502705997, 3.406083298389647, 3.479501856803993]",[1.9904711251677238],"[2.102736962409551, 2.9864812502705997, 2.406083298389647, 2.479501856803993]",[0.9904711251677238],"[5.391633236947566, 7.657644231463076, 6.169444354845249, 6.3576970687281875]"
493,0,2,True,False,,0.0,2,2,,0,2,5.201783703149291,"[2.5, 2.701783703149291]",4.028695644228224,"[1.975, 2.0536956442282235]",30.631374364170703,0.0,[],13.946236002026575,0.0,0.0,0.0,"[6.704655407072889, 7.241580594953686]",[],"[0.0, 0.0]",[],"[14.62732155659715, 16.004052807573554]"
493,0,3,True,True,1.0,4.99,4,4,True,2,6,19.91728153371295,"[7.248850970201707, 2.5, 3.3391228336468886, 6.829307729864353]",11.76773979814805,"[3.827051878378666, 1.975, 2.3022579051222865, 3.6634300146470977]",27.13447717435527,12.737916215754407,"[10.368839961427224, 2.369076254327183]",14.582446097998556,6.9677873241442185,10.582446097998556,4.9677873241442185,"[4.125722117694781, 2.4035452472430605, 4.3183815632075255, 3.734797169853189]","[5.043847584956617, 1.9239397391876014]","[3.1257221176947807, 1.4035452472430605, 3.318381563207525, 2.734797169853189]","[4.043847584956617, 0.9239397391876014]","[8.014672096653284, 3.598833967289899, 8.50867067489109, 7.012300435520998]"
493,0,4,True,False,,0.0,3,3,,0,3,23.402447561707508,"[12.946933817432157, 6.062262766825447, 4.393250977449902]",12.126954549065928,"[6.0493041887985415, 3.3642824790619246, 2.7133678812054614]",27.27876966442861,0.0,[],13.638720169127158,0.0,0.0,0.0,"[4.8711052472128245, 6.792614921914334, 1.975]",[],"[0.0, 0.0, 0.0]",[],"[9.925910890289295, 14.852858774139316, 2.5]"
493,0,5,True,False,,0.0,3,3,,0,3,24.025839675802914,"[14.978455943833367, 3.013685156439396, 6.033698575530149]",12.370077473563136,"[6.841597818095013, 2.1753372110113647, 3.353142444456758]",31.256065328917554,0.0,[],15.189865478277847,0.0,0.0,0.0,"[4.286179566316762, 6.884390997712667, 4.019294914248418]",[],"[0.0, 0.0, 0.0]",[],"[8.426101452094262, 15.088182045417094, 7.741781831406198]"
493,0,6,True,False,,0.0,2,2,,0,2,30.181163393418036,"[13.186312858035478, 16.994850535382557]",13.770653723433036,"[6.142662014633837, 7.627991708799198]",24.9547463171999,0.0,[],11.73235106370796,0.0,0.0,0.0,"[7.078794280769057, 4.653556782938903]",[],"[0.0, 0.0]",[],"[15.586652001971942, 9.368094315227955]"
493,0,7,True,False,,0.0,1,1,,0,1,4.2753453514501265,[4.2753453514501265],2.6673846870655495,[2.6673846870655495],14.211794236631778,0.0,[],6.542599752286394,0.0,0.0,0.0,[6.542599752286394],[],[0.0],[],[14.211794236631778]
493,0,8,True,True,1.0,4.99,5,5,True,0,5,40.401131916642534,"[5.0899704317249075, 5.9762866073372045, 19.057575249527964, 7.777299628052458, 2.5]",20.75644144749059,"[2.985088468372714, 3.33075177686151, 8.432454347315907, 4.033146854940458, 1.975]",39.27045332675056,0.0,[],20.31547679743272,0.0,15.31547679743272,0.0,"[1.977241867502896, 5.283658714151597, 3.694827401107065, 3.61320018419715, 5.7465486304740105]",[],"[0.977241867502896, 4.283658714151597, 2.694827401107065, 2.61320018419715, 4.7465486304740105]",[],"[2.505748378212554, 10.983740292696403, 6.909813848992474, 6.700513292813205, 12.170637514035924]"
493,0,9,True,True,1.0,4.99,5,5,True,0,5,38.40074456848085,"[6.29079747108655, 5.61890986975406, 4.594180573019202, 18.413177588354866, 3.48367906626617]",19.976290381707532,"[3.4534110137237546, 3.1913748492040837, 2.791730423477489, 8.181139259458398, 2.358634835843806]",41.215297108855346,0.0,[],21.073965872453588,0.0,16.073965872453588,0.0,"[8.184155345505776, 3.7024801420440516, 3.6838346009735847, 2.669984430864609, 2.8335113530655684]",[],"[7.184155345505775, 2.7024801420440516, 2.6838346009735847, 1.6699844308646088, 1.8335113530655684]",[],"[18.4209111423225, 6.929436261651414, 6.88162718198355, 4.282011361191304, 4.7013111617065855]"
493,0,10,True,False,,0.0,2,2,,0,2,18.975322496526157,"[9.939054297852634, 9.036268198673524]",9.400375773645202,"[4.876231176162527, 4.524144597482675]",12.002181898092312,0.0,[],6.6808509402560015,0.0,0.0,0.0,"[4.353078294016445, 2.3277726462395565]",[],"[0.0, 0.0]",[],"[8.597636651324219, 3.4045452467680932]"
