iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
628,0,0,True,True,1.0,4.99,5,5,True,1,6,67.06013432184932,"[7.790854525955601, 22.229648324581788, 8.603261383900543, 18.022529494605365, 10.413840592806022]",31.153452385521234,"[4.038433265122684, 9.669562846586897, 4.355271939721212, 8.028786502896093, 5.061397831194348]",51.32255079335148,9.299146742495266,[9.299146742495266],25.015794809407076,4.626667229573154,20.015794809407076,3.6266672295731537,"[5.085908224194623, 4.6108253336212925, 4.699190601407234, 7.551577199360411, 3.068293450823518]",[4.626667229573154],"[4.085908224194623, 3.610825333621292, 3.699190601407234, 6.551577199360411, 2.068293450823518]",[3.6266672295731537],"[10.476687754345187, 9.258526496464851, 9.485104106172395, 16.798915895795925, 5.303316540573122]"
628,0,1,True,False,,0.0,3,3,,0,3,26.227585139183333,"[18.47781563479009, 4.773644941926675, 2.976124562466568]",13.2287582042815,"[8.206348097568135, 2.8617215273514036, 2.1606885793619615]",30.679251522013217,0.0,[],14.964908093585157,0.0,0.0,0.0,"[5.095973328632637, 6.5182458121390745, 3.350688952813444]",[],"[0.0, 0.0, 0.0]",[],"[10.50249571444266, 14.149348236254037, 6.027407571316523]"
628,0,2,True,False,,0.0,2,2,,0,2,26.48953737614842,"[6.2287882764182285, 20.26074909973019]",12.330919576697884,"[3.4292274278031094, 8.901692148894774]",11.241004758082024,0.0,[],6.383991855651989,0.0,0.0,0.0,"[2.8935826327317002, 3.490409222920289]",[],"[0.0, 0.0]",[],"[4.8553400839274365, 6.3856646741545875]"
628,0,3,True,False,,0.0,1,1,,0,1,5.129002391295066,[5.129002391295066],3.000310932605076,[3.000310932605076],9.607306315647488,0.0,[],4.746849463102521,0.0,0.0,0.0,[4.746849463102521],[],[0.0],[],[9.607306315647488]
628,0,4,True,True,1.0,4.99,4,4,True,2,6,32.46462370629339,"[10.314830756861737, 9.45726680594269, 8.769588087836821, 3.9229380556521387]",16.66120324545442,"[5.022783995176077, 4.688334054317648, 4.42013935425636, 2.5299458417043343]",53.68816849327527,6.3659847039965936,"[3.2916779917881813, 3.0743067122084122]",24.93838571237736,4.482734034558671,20.93838571237736,2.4827340345586713,"[4.18263963303535, 2.0271923574240733, 6.096286692129452, 12.632267029788483]","[2.2837544167973904, 2.198979617761281]","[3.1826396330353504, 1.0271923574240733, 5.096286692129452, 11.632267029788483]","[1.2837544167973907, 1.1989796177612808]","[8.160614443680386, 2.6338265574976236, 13.0674017746909, 29.826325717406366]"
628,0,5,True,False,,0.0,3,3,,0,3,19.40769996378057,"[2.672194262664638, 9.647535630079233, 7.0879700710366995]",10.569002985874421,"[2.042155762439209, 4.7625388957309, 3.764308327704313]",29.14741178273304,0.0,[],14.367490595265886,0.0,0.0,0.0,"[2.5271869321079556, 9.166948435668473, 2.6733552274894574]",[],"[0.0, 0.0, 0.0]",[],"[3.9158639284819374, 20.940893424790957, 4.2906544294601465]"
628,0,6,True,True,1.0,4.99,4,4,,2,6,25.527228844533116,"[10.76473486814431, 9.762493976388807, 2.5, 2.5]",13.955619249367915,"[5.198246598576281, 4.807372650791635, 1.975, 1.975]",25.59135899531351,40.85183549062357,"[28.4550018593632, 12.39683363126037]",13.98063000817227,17.932215841343194,9.98063000817227,15.932215841343194,"[4.528733502253226, 1.975, 2.308814176309199, 5.168082329609844]","[12.09745072515165, 5.834765116191544]","[3.5287335022532256, 0.9750000000000001, 1.3088141763091994, 4.168082329609844]","[11.09745072515165, 4.834765116191544]","[9.048034621162117, 2.5, 3.355933785408203, 10.68739058874319]"
628,0,7,True,True,1.0,4.99,6,6,True,2,8,53.90295389267187,"[6.673414969748918, 4.429388942082048, 2.5, 17.839878014505043, 10.709473211068207, 11.750798755267652]",27.02215201814203,"[3.602631838202078, 2.727461687411999, 1.975, 7.957552425656967, 5.176694552316601, 5.582811514554384]",72.6120315107284,19.432596218816194,"[13.393537035564023, 6.039059183252169]",34.31869228918408,9.578712525338315,28.318692289184078,7.578712525338315,"[3.4923083768353496, 2.6280959302267104, 5.021193582986663, 5.923011152699249, 7.550118664064738, 9.703964582371368]","[6.223479443869969, 3.355233081468346]","[2.4923083768353496, 1.6280959302267104, 4.021193582986663, 4.923011152699249, 6.550118664064738, 8.703964582371368]","[5.223479443869969, 2.355233081468346]","[6.390534299577819, 4.174604949299257, 10.310752776888878, 12.623105519741664, 16.795176061704456, 22.317857903516327]"
628,0,8,True,False,,0.0,1,1,,0,1,9.871315509164154,[9.871315509164154],4.8498130485740205,[4.8498130485740205],13.445607434490938,0.0,[],6.243786899451466,0.0,0.0,0.0,[6.243786899451466],[],[0.0],[],[13.445607434490938]
628,0,9,True,False,,0.0,3,3,,0,3,30.47000074966542,"[12.00346397237957, 9.293754763770036, 9.172782013515814]",14.883300292369514,"[5.681350949228032, 4.624564357870314, 4.577384985271168]",13.4504459665249,0.0,[],8.245673926944711,0.0,0.0,0.0,"[2.898673992137624, 3.241830539808237, 2.1051693949988497]",[],"[0.0, 0.0, 0.0]",[],"[4.868394851634934, 5.748283435405735, 2.8337676794842306]"
628,0,10,True,False,,0.0,3,3,,0,3,25.70949470751444,"[9.220313830132525, 6.5744974299241825, 9.914683447457733]",13.026702935930633,"[4.595922393751685, 3.564053997670431, 4.866726544508516]",18.68055118426201,0.0,[],10.285414961862186,0.0,0.0,0.0,"[3.9858931826944297, 2.8185409994455854, 3.4809807797221697]",[],"[0.0, 0.0, 0.0]",[],"[7.656136365883153, 4.662925639604064, 6.361489178774794]"
628,0,11,True,False,,0.0,1,1,,0,1,25.535947781486232,[25.535947781486232],10.959019634779631,[10.959019634779631],8.717711844736597,0.0,[],4.399907619447273,0.0,0.0,0.0,[4.399907619447273],[],[0.0],[],[8.717711844736597]
628,0,12,True,True,1.0,4.99,4,4,True,1,5,36.690933049310544,"[10.066828327333704, 5.157715711730723, 11.075383455367433, 10.391005554878689]",18.309463889231115,"[4.926063047660145, 3.011509127574982, 5.319399547593299, 5.052492166402689]",39.83158060140014,5.008933197147544,[5.008933197147544],19.534316434546053,2.9534839468875425,15.534316434546053,1.9534839468875425,"[4.332992934146293, 4.960139978839986, 2.664055322548566, 7.57712819901121]",[2.9534839468875425],"[3.3329929341462927, 3.960139978839986, 1.6640553225485657, 6.57712819901121]",[1.9534839468875425],"[8.546135728580238, 10.154205073948681, 4.266808519355297, 16.864431279515923]"
628,0,13,True,False,,0.0,2,2,,0,2,19.774818636446074,"[16.42630548918756, 3.3485131472585152]",9.71217926821397,"[7.406259140783148, 2.305920127430821]",11.035492137272879,0.0,[],6.3038419335364235,0.0,0.0,0.0,"[3.0442707725518705, 3.2595711609845526]",[],"[0.0, 0.0]",[],"[5.241719929620181, 5.793772207652698]"
628,0,14,True,False,,0.0,2,2,,0,2,11.07137156841178,"[5.534501406942568, 5.536870161469212]",6.317834911680594,"[3.1584555487076016, 3.1593793629729925]",23.720842826566233,0.0,[],11.25112870236083,0.0,0.0,0.0,"[5.297589447221447, 5.953539255139384]",[],"[0.0, 0.0]",[],"[11.019460121080632, 12.701382705485601]"
