iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
448,0,0,True,True,1.0,3.99,4,4,True,4,8,60.29591967491652,"[23.682488497131676, 14.3955725852262, 5.431443278751374, 16.78641531380727]",27.515408673217443,"[10.236170513881353, 6.614273308238218, 3.1182628787130358, 7.546701972384836]",18.6473900483321,41.38948597609943,"[13.457752946396814, 9.38131239230537, 6.674953661160722, 11.875466976236522]",11.272482118849519,20.141899530678778,7.272482118849519,16.141899530678778,"[2.749973457928167, 2.754840652578239, 2.9396240931613304, 2.8280439151817824]","[6.248523649094758, 4.658711832999094, 3.603231927852682, 5.631432120732244]","[1.7499734579281674, 1.754840652578239, 1.9396240931613302, 1.8280439151817824]","[5.248523649094758, 3.6587118329990944, 2.603231927852682, 4.631432120732244]","[4.487111430585045, 4.499591416867279, 4.973395110670078, 4.687292090209699]"
448,0,1,True,False,,0.0,2,2,,0,2,32.61469401083233,"[20.917520245400322, 11.69717376543201]",14.71973066422461,"[9.157832895706125, 5.5618977685184845]",16.925016485490506,0.0,[],8.600756429341297,0.0,0.0,0.0,"[3.9475316110109158, 4.653224818330381]",[],"[0.0, 0.0]",[],"[7.557773361566451, 9.367243123924055]"
448,0,2,True,True,1.0,3.99,6,6,True,3,9,70.97501715758014,"[12.585254684845031, 20.007096270156676, 11.407013612626043, 17.42094285695296, 7.054709732999427, 2.5]",33.68025669145625,"[5.908249327089562, 8.802767545361103, 5.4487353089241575, 7.794167714211654, 3.7513367958697765, 1.975]",58.63913754164312,16.47693587252121,"[3.6518014412322426, 3.6518014412322426, 9.173332990056727]",28.86926364124082,9.426004990283273,22.86926364124082,6.426004990283273,"[5.032103465342332, 7.370063696227698, 6.282210585277555, 2.7677144580827058, 4.13260329397675, 3.284568142333777]","[2.4242025620805747, 2.4242025620805747, 4.5775998661221236]","[4.032103465342332, 6.370063696227698, 5.282210585277555, 1.767714458082706, 3.13260329397675, 2.284568142333777]","[1.4242025620805747, 1.4242025620805747, 3.5775998661221236]","[10.338726834211107, 16.333496656994097, 13.544129705839886, 4.532601174571041, 8.032316138401923, 5.857867031625069]"
448,0,3,True,False,,0.0,1,1,,0,1,19.23179203073691,[19.23179203073691],8.500398891987395,[8.500398891987395],14.107700364178823,0.0,[],6.502003142029741,0.0,0.0,0.0,[6.502003142029741],[],[0.0],[],[14.107700364178823]
448,0,4,True,False,,0.0,1,1,,0,1,5.542468661744617,[5.542468661744617],3.1615627780804005,[3.1615627780804005],5.952561853330819,0.0,[],3.321499122799019,0.0,0.0,0.0,[3.321499122799019],[],[0.0],[],[5.952561853330819]
448,0,5,True,True,1.0,3.99,5,5,True,4,9,38.94416103736377,"[6.5136523085620714, 16.73029736275436, 2.6558512161459693, 5.150063008809616, 7.89429714109175]",20.188222804571872,"[3.540324400339208, 7.524815971474201, 2.035781974296928, 3.0085245734357504, 4.078775885025783]",42.89557254000674,39.56690182602988,"[8.924182366118895, 7.7122682819010135, 16.780825788350334, 6.1496253896596365]",21.72927329060263,19.43109171215165,16.72927329060263,15.431091712151654,"[3.9406758229234606, 3.5013411325944754, 2.6860569778345726, 2.4084930952750336, 9.192706261975088]","[4.480431122786369, 4.007784629941396, 7.54452205745663, 3.3983539019672584]","[2.9406758229234606, 2.5013411325944754, 1.6860569778345726, 1.4084930952750336, 8.192706261975088]","[3.4804311227863693, 3.0077846299413955, 6.54452205745663, 2.3983539019672584]","[7.540194417752463, 6.413695211780706, 4.323223020088648, 3.611520757115471, 21.006939133269455]"
448,0,6,True,True,1.0,3.99,3,3,True,1,4,38.00076339131468,"[7.460029050031402, 16.157477670157075, 14.383256671126203]",17.820297722612725,"[3.909411329512247, 7.301416291361259, 6.60947010173922]",29.185323674212533,9.084536135773744,[9.084536135773744],14.382276232942889,4.54296909295176,11.382276232942889,3.5429690929517603,"[1.989412656793066, 7.829184172230386, 4.563679403919437]",[4.54296909295176],"[0.989412656793066, 6.829184172230386, 3.5636794039194366]",[3.5429690929517603],"[2.5369555302386306, 17.510728646744578, 9.137639497229324]"
448,0,7,True,True,1.0,3.99,6,6,True,1,7,67.91785535761025,"[7.168772134219054, 10.082520062676926, 27.485223102597537, 11.703255461412681, 4.233618414705936, 7.244466181998121]",32.487963589468,"[3.795821132345431, 4.932182824444001, 11.719237010013039, 5.564269629950946, 2.651111181735315, 3.825341810979267]",59.48802272409944,11.738734539372322,[11.738734539372322],29.200328862398784,5.5781064703552055,23.200328862398784,4.5781064703552055,"[6.521661668107542, 6.088165965338386, 2.6284127003843167, 5.166937842244173, 2.594356095995596, 6.200794590328767]",[5.5781064703552055],"[5.521661668107542, 5.088165965338386, 1.6284127003843165, 4.166937842244173, 1.5943560959955958, 5.200794590328767]",[4.5781064703552055],"[14.15810684130139, 13.046579398303553, 4.175417180472606, 10.684456005754289, 4.088092553834861, 13.335370744432737]"
448,0,8,True,False,,0.0,2,2,,0,2,22.10490178891052,"[10.621968120691736, 11.482933668218784]",10.620911697675105,"[5.1425675670697775, 5.478344130605326]",26.293798644327197,0.0,[],12.254581471287606,0.0,0.0,0.0,"[6.848853968290349, 5.405727502997257]",[],"[0.0, 0.0]",[],"[14.997061457154741, 11.296737187172454]"
448,0,9,True,True,1.0,3.99,5,5,True,1,6,37.71530721880441,"[5.096757782723169, 4.281951695440337, 10.205082730336489, 6.112993237878108, 12.018521772426311]",19.708969815333724,"[2.9877355352620363, 2.6699611612217313, 4.97998226483123, 3.3840673627724622, 5.687223491246262]",55.40326390961886,5.040867625872073,[5.040867625872073],26.607272924751353,2.9659383740901086,21.607272924751353,1.9659383740901084,"[1.975, 8.161040667099158, 3.649102197458564, 10.792305283262927, 2.029824776930707]",[2.9659383740901086],"[0.9750000000000001, 7.161040667099157, 2.649102197458564, 9.792305283262927, 1.029824776930707]",[1.9659383740901084],"[2.5, 18.361642736151683, 6.79256973707324, 25.108475085289555, 2.6405763511043765]"
