iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
335,0,0,True,False,,0.0,3,3,,0,3,27.7664406669994,"[9.355120625568288, 10.278846554828318, 8.132473486602795]",13.828911860129766,"[4.648497043971632, 5.008750156383044, 4.1716646597750895]",26.424219364122642,0.0,[],13.30544555200783,0.0,0.0,0.0,"[1.975, 8.895256483082116, 2.4351890689257143]",[],"[0.0, 0.0, 0.0]",[],"[2.5, 20.244247392518247, 3.6799719716043953]"
335,0,1,True,False,,0.0,4,4,,0,4,34.01529907126715,"[11.832593247454959, 8.356387441689591, 6.968834633545453, 6.857483748577147]",17.26596663779419,"[5.614711366507434, 4.258991102258941, 3.7178455070827265, 3.6744186619450874]",39.7464014771399,0.0,[],19.50109657608456,0.0,0.0,0.0,"[5.577845475247817, 3.056028535842735, 4.913862000802065, 5.953360564191943]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[11.738065321148248, 5.2718680406223974, 10.035543591800167, 12.700924523569084]"
335,0,2,True,False,,0.0,3,3,,0,3,34.59017463692008,"[3.007314285471937, 22.045628818912828, 9.537231532535314]",16.490168108398834,"[2.1728525713340554, 9.597795239376003, 4.7195202976887725]",27.2977578526479,0.0,[],13.646125562532681,0.0,0.0,0.0,"[2.665841076380875, 4.808011192656753, 6.172273293495054]",[],"[0.0, 0.0, 0.0]",[],"[4.271387375335577, 9.764131263222444, 13.262239214089881]"
335,0,3,True,True,1.0,6.99,6,6,True,1,7,53.87527951889627,"[3.5155131766365026, 6.727794757204937, 7.300813152077996, 18.745899958434517, 8.18115083405946, 9.404107640482861]",27.01135901236955,"[2.3710501388882363, 3.6238399553099256, 3.8473171293104187, 8.310900983789463, 4.19064882528319, 4.667601979788316]",48.83734938577801,3.8310384961692256,[3.8310384961692256],25.046566260453424,2.4941050135059983,19.046566260453424,1.4941050135059981,"[2.4081538708799073, 1.975, 5.521374004390111, 6.933674898671456, 3.464600787097445, 4.7437626994145035]",[2.4941050135059983],"[1.4081538708799075, 0.9750000000000001, 4.521374004390111, 5.933674898671456, 2.464600787097445, 3.7437626994145035]",[1.4941050135059981],"[3.610650950974122, 2.5, 11.593266677923362, 15.214551022234502, 6.319489197685756, 9.599391536960265]"
335,0,4,True,False,,0.0,3,3,,0,3,30.765916677498467,"[7.2463268803823055, 14.74912598172391, 8.77046381539225]",14.998707504224402,"[3.826067483349099, 6.752159132872325, 4.420480888002977]",14.879156323415993,0.0,[],8.802870966132236,0.0,0.0,0.0,"[3.2243850787851014, 3.3746143483975697, 2.2038715389495662]",[],"[0.0, 0.0, 0.0]",[],"[5.703551484064362, 6.088754739480947, 3.0868500998706825]"
335,0,5,True,False,,0.0,4,4,,0,4,50.05053651898407,"[19.62051671296568, 14.527833476821298, 9.60799116557123, 6.294195163625858]",23.51970924240379,"[8.652001518056615, 6.665855055960306, 4.74711655457278, 3.454736113814085]",33.24735121980127,0.0,[],16.966466975722494,0.0,0.0,0.0,"[4.612113509594163, 5.643737594607979, 3.1201240321186883, 3.5904918394016634]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[9.261829511779906, 11.907019473353792, 5.436215466970996, 6.6422867676965724]"
335,0,6,True,False,,0.0,4,4,,0,4,30.08187671588425,"[6.148642568519188, 4.89337820022191, 12.4724618688264, 6.567394078316752]",15.731931919194858,"[3.3979706017224833, 2.9084174980865454, 5.864260128842297, 3.5612836905435334]",35.26388567961325,0.0,[],17.75291541504917,0.0,0.0,0.0,"[4.300131988225941, 2.474583573004832, 7.855572144831682, 3.122627708986715]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[8.461876892887027, 3.78098352052521, 17.57839011495303, 5.442635151247988]"
335,0,7,True,False,,0.0,3,3,,0,3,31.06581030315384,"[9.203777634168597, 8.813188353288622, 13.04884431569662]",15.115666018229998,"[4.589473277325753, 4.437143457782563, 6.089049283121682]",18.42672459325176,0.0,[],10.186422591368187,0.0,0.0,0.0,"[2.526415521074876, 5.68500707029331, 1.975]",[],"[0.0, 0.0, 0.0]",[],"[3.9138859514740414, 12.012838641777718, 2.5]"
335,0,8,True,False,,0.0,4,4,,0,4,32.933613376182905,"[4.210328354351107, 8.698501952999438, 3.926170513847614, 16.098612554984747]",16.844109216711335,"[2.6420280581969315, 4.392415761669781, 2.5312065004005695, 7.278458896444052]",34.50400095972874,0.0,[],17.45656037429421,0.0,0.0,0.0,"[5.005138785265185, 3.6396485728514207, 5.0615319564450685, 3.750241059732534]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[10.26958662888509, 6.768329673978002, 10.414184503705304, 7.051900153160344]"
335,0,9,True,False,,0.0,1,1,,0,1,3.950795904596024,[3.950795904596024],2.5408104027924496,[2.5408104027924496],10.84825685229836,0.0,[],5.23082017239636,0.0,0.0,0.0,[5.23082017239636],[],[0.0],[],[10.84825685229836]
335,0,10,True,False,,0.0,3,3,,0,3,22.126456537614747,"[13.163780518999838, 2.7392662295890737, 6.223409789025836]",11.629318049669752,"[6.133874402409937, 2.068313829539739, 3.427129817720076]",31.25974631706498,0.0,[],15.191301063655342,0.0,0.0,0.0,"[3.180720584552378, 6.74829639841112, 5.2622840806918445]",[],"[0.0, 0.0, 0.0]",[],"[5.591591242441995, 14.739221534387486, 10.928933540235498]"
335,0,11,True,True,1.0,6.99,6,5,,1,7,50.21673994857745,"[14.065264709418258, 6.749699711215509, 12.440255617718062, 13.152542463938781, 3.808977446286839]",24.584528579945207,"[6.485453236673121, 3.6323828873740487, 5.851699690910045, 6.129491560936125, 2.485501204051867]",50.54102943739507,4.580740423618622,[4.580740423618622],24.711001480584073,2.7864887652112627,19.711001480584073,1.7864887652112629,"[5.46828905156913, 2.8493591381467542, 6.285434543575977, 7.398903412382978, 2.709015334909237]",[2.7864887652112627],"[4.46828905156913, 1.849359138146754, 5.285434543575977, 6.398903412382978, 1.7090153349092372]",[1.7864887652112629],"[11.45715141427982, 4.7419465080686, 13.552396265579427, 16.40744464713584, 4.3820906023313775]"
335,0,12,True,False,,0.0,3,3,,0,3,17.00738204244973,"[5.420624813417302, 8.422377913057147, 3.1643793159752818]",9.632878996555394,"[3.1140436772327478, 4.284727386092287, 2.23410793323036]",19.036351708193763,0.0,[],10.424177166195568,0.0,0.0,0.0,"[6.065392904148027, 1.975, 2.383784262047541]",[],"[0.0, 0.0, 0.0]",[],"[12.988186933712889, 2.5, 3.548164774480874]"
335,0,13,True,True,1.0,6.99,5,5,True,3,8,58.42546202858218,"[4.019828660812578, 4.437562509316332, 19.7261412468621, 18.317070978217583, 11.92485863337359]",27.785930191147052,"[2.5677331777169057, 2.7306493786333697, 8.69319508627622, 8.143657681504857, 5.650694867015701]",49.820288343678264,16.348811406195754,"[6.536449969119941, 4.715575847987909, 5.096785589087904]",24.429912454034522,9.376036448416343,19.429912454034525,6.376036448416344,"[3.1724497960708864, 5.0158210445161995, 8.431439159643457, 2.916869002955713, 4.893333450848266]","[3.549215487956777, 2.8390745807152844, 2.9877463797442827]","[2.1724497960708864, 4.0158210445161995, 7.431439159643458, 1.9168690029557132, 3.8933334508482664]","[2.549215487956777, 1.8390745807152844, 1.9877463797442827]","[5.570384092489452, 10.296977037221025, 19.054972204213993, 4.91504872552747, 9.982906284226324]"
335,0,14,True,False,,0.0,1,1,,0,1,3.7031253778775794,[3.7031253778775794],2.444218897372256,[2.444218897372256],2.5,0.0,[],1.975,0.0,0.0,0.0,[1.975],[],[0.0],[],[2.5]
335,0,15,True,False,,0.0,3,3,,0,3,18.5747525516529,"[4.6252243001014675, 5.260126540286642, 8.689401711264791]",10.24415349514463,"[2.8038374770395724, 3.05144935071179, 4.388866667393269]",26.046078300248556,0.0,[],13.157970537096936,0.0,0.0,0.0,"[7.074316367062596, 4.034834307978288, 2.048819862056053]",[],"[0.0, 0.0, 0.0]",[],"[15.575170171955373, 7.78162643071356, 2.689281697579624]"
335,0,16,True,True,1.0,6.99,7,7,True,0,7,65.17535147650665,"[2.7234537073996785, 16.4198886679373, 15.81622080802822, 10.081866652519711, 9.79171516773117, 3.5680293246244035, 6.774177148266161]",32.41838707583759,"[2.0621469458858748, 7.403756580495547, 7.168326115131006, 4.931927994482687, 4.818768915415156, 2.3915314366035174, 3.641929087823803]",70.67923391068551,0.0,[],34.564901225167354,0.0,27.564901225167354,0.0,"[4.042561194908712, 1.9857898684947992, 5.253679787375439, 2.4374754583096614, 7.6008844101591, 7.5427593349193085, 5.701751171000332]",[],"[3.042561194908713, 0.9857898684947992, 4.253679787375439, 1.4374754583096614, 6.6008844101591, 6.5427593349193085, 4.701751171000332]",[],"[7.801438961304392, 2.527666329473844, 10.906871249680611, 3.685834508486311, 16.92534464143359, 16.776305986972584, 12.055772233334183]"
335,0,17,True,False,,0.0,2,2,,0,2,5.863182954843335,"[3.363182954843335, 2.5]",4.2866413523889015,"[2.311641352388901, 1.975]",16.900698222151412,0.0,[],8.591272306639052,0.0,0.0,0.0,"[4.412476209051453, 4.178796097587599]",[],"[0.0, 0.0]",[],"[8.749938997567828, 8.150759224583586]"
335,0,18,True,False,,0.0,3,3,,0,3,31.647242334884595,"[8.08153772735071, 11.012138486086776, 12.55356612144711]",15.342424510604992,"[4.151799713666778, 5.294734009573843, 5.895890787364373]",42.858707595010856,0.0,[],19.714895962054232,0.0,0.0,0.0,"[6.490933559852482, 8.674945847696856, 4.549016554504895]",[],"[0.0, 0.0, 0.0]",[],"[14.079316820134569, 19.679348327427835, 9.100042447448448]"
335,0,19,True,False,,0.0,2,2,,0,2,15.14329000796107,"[11.119576087259553, 4.0237139207015185]",7.905883103104818,"[5.336634674031226, 2.569248429073592]",22.45888958812404,0.0,[],10.758966939368376,0.0,0.0,0.0,"[4.591540147579217, 6.167426791789159]",[],"[0.0, 0.0]",[],"[9.209077301485172, 13.24981228663887]"
335,0,20,True,False,,0.0,1,1,,0,1,6.341369378869492,[6.341369378869492],3.473134057759102,[3.473134057759102],15.385507909652583,0.0,[],7.000348084764507,0.0,0.0,0.0,[7.000348084764507],[],[0.0],[],[15.385507909652583]
335,0,21,True,False,,0.0,3,3,,0,3,31.17917901557737,"[10.677312809888832, 4.138261682213208, 16.363604523475328]",15.159879816075174,"[5.164151995856645, 2.613922056063151, 7.381805764155378]",17.851231806702515,0.0,[],9.96198040461398,0.0,0.0,0.0,"[4.737066176483921, 2.202381647647984, 3.0225325804820753]",[],"[0.0, 0.0, 0.0]",[],"[9.582220965343387, 3.083029865764062, 5.185980975595065]"
335,0,22,True,False,,0.0,3,3,,0,3,40.41417442670475,"[19.713705113369883, 6.135584989995093, 14.564884323339776]",18.761528026414855,"[8.688344994214255, 3.392878146098086, 6.680304886102513]",33.897597131120094,0.0,[],16.220062881136837,0.0,0.0,0.0,"[4.7210153612992105, 2.167716275150152, 9.331331244687474]",[],"[0.0, 0.0, 0.0]",[],"[9.541065028972335, 2.9941442952568003, 21.362387806890958]"
335,0,23,True,True,1.0,6.99,10,1,,0,10,13.26022410127441,[13.26022410127441],6.17148739949702,[6.17148739949702],13.462910359537705,0.0,[],6.250535040219705,0.0,5.250535040219705,0.0,[6.250535040219705],[],[5.250535040219705],[],[13.462910359537705]
335,0,24,True,False,,0.0,1,1,,0,1,8.830055378040617,[8.830055378040617],4.443721597435841,[4.443721597435841],6.125340371630401,0.0,[],3.3888827449358563,0.0,0.0,0.0,[3.3888827449358563],[],[0.0],[],[6.125340371630401]
335,0,25,True,False,,0.0,4,4,,0,4,38.10741219977159,"[8.62738368658177, 7.168160389426394, 7.428366669520059, 14.883501454243362]",18.86189075791092,"[4.364679637766891, 3.7955825518762936, 3.8970630011128233, 6.804565567154912]",33.08347546685148,0.0,[],16.90255543207208,0.0,0.0,0.0,"[6.128717061708126, 1.975, 2.2403205015383287, 6.558517868825624]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[13.150556568482372, 2.5, 3.1803089783034064, 14.252609920065703]"
335,0,26,True,False,,0.0,2,2,,0,2,13.727507027795202,"[3.2967093923583377, 10.430797635436864]",7.353727740840129,"[2.285716663019752, 5.068011077820377]",24.72111992016273,0.0,[],11.641236768863466,0.0,0.0,0.0,"[2.439194356046725, 9.202042412816741]",[],"[0.0, 0.0]",[],"[3.6902419385813454, 21.030877981581387]"
335,0,27,True,True,1.0,6.99,6,6,True,1,7,45.67561043583392,"[8.465160533408444, 3.727347257758551, 6.846409750907563, 10.574075396904679, 10.799910709801175, 5.262706787053502]",23.813488069975225,"[4.301412608029294, 2.453665430525835, 3.6700998028539495, 5.123889404792825, 5.211965176822458, 3.052455646950866]",42.35432213113857,11.465172262218617,[11.465172262218617],22.518185631144043,5.471417182265261,16.518185631144043,4.471417182265261,"[3.329941663231349, 5.366363295780765, 1.975, 5.6560856287240115, 3.377898234348776, 2.812896809059139]",[5.471417182265261],"[2.329941663231349, 4.366363295780765, 0.9750000000000001, 4.6560856287240115, 2.377898234348776, 1.8128968090591389]",[4.471417182265261],"[5.974209392900895, 11.19580332251478, 2.5, 11.938681099292337, 6.097174959868656, 4.648453356561895]"
