iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
840,0,0,True,True,1.0,5.99,5,5,True,2,7,33.126362296171735,"[6.681562449548263, 4.079915462664969, 11.137965230430698, 4.467898512507808, 6.759020641019993]",17.919281295506977,"[3.6058093553238226, 2.5911670304393377, 5.343806439867972, 2.742480419878045, 3.6360180499977974]",52.25975020348241,16.24550055410532,"[9.153234700243681, 7.092265853861638]",25.38130257935814,8.335745216101074,20.38130257935814,6.335745216101074,"[2.0987632084236654, 4.985099963516065, 5.88874946566612, 4.627114547936385, 7.7815753938159045]","[4.569761533095036, 3.7659836830060387]","[1.0987632084236654, 3.985099963516065, 4.88874946566612, 3.6271145479363853, 6.7815753938159045]","[3.569761533095036, 2.7659836830060387]","[2.8173415600606804, 10.218205034656577, 12.535255040169536, 9.300293712657398, 17.388654855938217]"
840,0,1,True,False,,0.0,3,3,,0,3,36.43107671455241,"[9.919086562173138, 3.4437200743596907, 23.068270078019584]",17.208119918675443,"[4.8684437592475245, 2.3430508290002794, 9.996625330427637]",20.643032522799977,0.0,[],11.050782683891992,0.0,0.0,0.0,"[3.8109417880410867, 3.157770453881981, 4.0820704419689235]",[],"[0.0, 0.0, 0.0]",[],"[7.207543046259197, 5.532744753543541, 7.902744722997241]"
840,0,2,True,False,,0.0,3,3,,0,3,39.33773684184449,"[8.902982525536936, 22.251485244013278, 8.183269072294275]",18.34171736831935,"[4.472163184959405, 9.67807924516518, 4.191474938194768]",27.08259827773861,0.0,[],13.562213328318059,0.0,0.0,0.0,"[8.470980852458531, 2.581812781646674, 2.509419694212854]",[],"[0.0, 0.0, 0.0]",[],"[19.156361160150077, 4.055930209350446, 3.870306908238087]"
840,0,3,True,True,1.0,5.99,5,5,True,1,6,53.379545389026966,"[4.172885879943983, 12.21880637048662, 22.776709198127598, 11.536813890449409, 2.6743300500193543]",25.818022701720515,"[2.6274254931781535, 5.765334484489782, 9.882916587269763, 5.499357417275269, 2.042988719507548]",35.815437635848376,9.056806043051942,[9.056806043051942],18.968020677980867,4.532154356790258,13.968020677980867,3.5321543567902576,"[3.201845729832989, 5.1001159921603065, 2.8925097710043985, 3.3307884762243556, 4.442760708758817]",[4.532154356790258],"[2.201845729832989, 4.1001159921603065, 1.8925097710043985, 2.3307884762243556, 3.442760708758817]",[3.5321543567902576],"[5.645758281623049, 10.51311792861617, 4.852589156421534, 5.976380708267579, 8.827591560920043]"
840,0,4,True,False,,0.0,3,3,,0,3,22.1764973558683,"[9.66014938048935, 6.53524452127285, 5.981103454106098]",11.648833968788637,"[4.767458258390847, 3.548745363296412, 3.3326303471013783]",24.319722415670967,0.0,[],12.484691742111677,0.0,0.0,0.0,"[2.1176218003746556, 3.7942351714498677, 6.5728347702871535]",[],"[0.0, 0.0, 0.0]",[],"[2.8656969240375783, 7.164705567820173, 14.289319923813213]"
840,0,5,True,False,,0.0,1,1,,0,1,8.03853317638272,[8.03853317638272],4.135027938789261,[4.135027938789261],12.213352513880626,0.0,[],5.7632074804134446,0.0,0.0,0.0,[5.7632074804134446],[],[0.0],[],[12.213352513880626]
840,0,6,True,False,,0.0,3,3,,0,3,19.122079011324402,"[5.007169599614629, 10.635166074822955, 3.47974333688682]",10.457610814416517,"[2.9527961438497057, 5.147714769180952, 2.35709990138586]",33.94139018257464,0.0,[],16.237142171204106,0.0,0.0,0.0,"[5.0960686872837755, 3.2961035065566446, 7.844969977363687]",[],"[0.0, 0.0, 0.0]",[],"[10.502740223804553, 5.887444888606781, 17.5512050701633]"
840,0,7,True,False,,0.0,3,3,,0,3,25.77740137981193,"[11.053744195174298, 10.85425899832301, 3.8693981863146236]",13.053186538126653,"[5.310960236117976, 5.233161009345974, 2.5090652926627035]",38.96279831090003,0.0,[],18.19549134125101,0.0,0.0,0.0,"[8.635597055791767, 4.622885000969889, 4.937009284489355]",[],"[0.0, 0.0, 0.0]",[],"[19.578453989209656, 9.289448720435614, 10.094895601254757]"
840,0,8,True,False,,0.0,4,4,,0,4,24.21391261425066,"[5.805540974518105, 7.1545319504568035, 6.146308276823383, 5.107531412452369]",13.443425919557757,"[3.2641609800620612, 3.7902674606781535, 3.3970602279611195, 2.9919372508564237]",42.513051144773584,0.0,[],20.580089946461698,0.0,0.0,0.0,"[5.884908963602698, 7.769145865480661, 4.951035117378337, 1.975]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[12.525407598981278, 17.356784270463233, 10.13085927532907, 2.5]"
840,0,9,True,False,,0.0,3,3,,0,3,32.48916220948355,"[16.572382198660815, 8.08384701356906, 7.832932997253677]",15.670773261698585,"[7.463229057477718, 4.152700335291933, 4.054843868928934]",15.565427048364905,0.0,[],9.070516548862312,0.0,0.0,0.0,"[3.608024161370794, 2.7586360432573906, 2.7038563442341284]",[],"[0.0, 0.0, 0.0]",[],"[6.687241439412292, 4.509323187839463, 4.36886242111315]"
840,0,10,True,False,,0.0,3,3,,0,3,32.290535193161666,"[16.41296560279638, 12.985827524143616, 2.8917420662216724]",15.59330872533305,"[7.401056585090588, 6.06447273441601, 2.1277794058264523]",21.536292507005474,0.0,[],11.399154077732135,0.0,0.0,0.0,"[2.1952935618157134, 6.447471686886558, 2.7563888290298637]",[],"[0.0, 0.0, 0.0]",[],"[3.064855286706958, 13.967876120221943, 4.503561100076574]"
840,0,11,True,False,,0.0,4,4,,0,4,28.493449237498456,"[12.063102341304724, 3.1595683997695905, 5.039826207573282, 8.230952288850862]",15.112445202624398,"[5.704609913108842, 2.2322316759101404, 2.96553222095358, 4.210071392651836]",26.295276497720025,0.0,[],14.255157834110811,0.0,0.0,0.0,"[2.4045963850435044, 4.261433205966752, 4.240613387661821, 3.3485148554387334]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[3.601529192419241, 8.362649246068596, 8.30926509656877, 6.021832962663419]"
840,0,12,True,False,,0.0,2,2,,0,2,19.844519875489482,"[3.5616800741353125, 16.282839801354168]",9.739362751440897,"[2.389055228912772, 7.350307522528126]",30.3939610524247,0.0,[],13.853644810445633,0.0,0.0,0.0,"[8.803347101187374, 5.050297709258261]",[],"[0.0, 0.0]",[],"[20.008582310736852, 10.385378741687848]"
840,0,13,True,False,,0.0,3,3,,0,3,30.824015945161932,"[6.265790831835766, 15.300135623782502, 9.258089489543666]",15.021366218613153,"[3.4436584244159487, 6.967052893275176, 4.61065490092203]",30.315601909671337,0.0,[],14.823084744771823,0.0,0.0,0.0,"[5.484627008568852, 3.6617132123842633, 5.676744523818708]",[],"[0.0, 0.0, 0.0]",[],"[11.499043611715004, 6.824905672780162, 11.991652625176172]"
840,0,14,True,False,,0.0,1,1,,0,1,6.12364606775289,[6.12364606775289],3.3882219664236275,[3.3882219664236275],14.469767672813283,0.0,[],6.643209392397181,0.0,0.0,0.0,[6.643209392397181],[],[0.0],[],[14.469767672813283]
