iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
441,0,0,True,True,1.0,5.99,5,5,True,1,6,52.672371209603426,"[6.960185649162169, 9.25104513106899, 7.598053842074866, 14.081264257682513, 14.781822329614887]",25.54222477174534,"[3.714472403173246, 4.6079076011169064, 3.963240998409198, 6.49169306049618, 6.764910708549806]",42.31280364548182,6.286996491428881,[6.286996491428881],21.50199342173791,3.4519286316572635,16.50199342173791,2.4519286316572635,"[3.68765540963612, 7.621519538480642, 3.5979432772844007, 2.0621213204690823, 4.532753875867666]",[3.4519286316572635],"[2.68765540963612, 6.621519538480642, 2.5979432772844007, 1.0621213204690823, 3.532753875867666]",[2.4519286316572635],"[6.891424127272103, 16.97825522687344, 6.66139301867795, 2.7233880012027747, 9.058343271455554]"
441,0,1,True,False,,0.0,3,3,,0,3,45.926206158386194,"[16.832439508733753, 12.179937611630688, 16.913829038021756]",20.911220401770617,"[7.564651408406164, 5.750175668535968, 7.596393324828485]",27.981503457735332,0.0,[],13.912786348516779,0.0,0.0,0.0,"[4.489371271763645, 3.7491314850304414, 5.674283591722694]",[],"[0.0, 0.0, 0.0]",[],"[8.947105825034987, 7.049055089821644, 11.985342542878701]"
441,0,2,True,False,,0.0,3,3,,0,3,36.00387555559013,"[10.394525890844427, 6.994857232743513, 18.614492432002184]",17.04151146668015,"[5.053865097429327, 3.72799432076997, 8.259652048480852]",21.93320566889713,0.0,[],11.553950210869882,0.0,0.0,0.0,"[7.399037023201527, 1.975, 2.1799131876683555]",[],"[0.0, 0.0, 0.0]",[],"[16.407787238978273, 2.5, 3.02541842991886]"
441,0,3,True,False,,0.0,2,2,,0,2,30.392352368814336,"[18.147474653112734, 12.244877715701604]",13.853017423837592,"[8.077515114713966, 5.775502309123626]",12.872633962457234,0.0,[],7.020327245358322,0.0,0.0,0.0,"[3.078788440142893, 3.9415388052154285]",[],"[0.0, 0.0]",[],"[5.330226769597162, 7.542407192860073]"
441,0,4,True,False,,0.0,4,4,,0,4,44.6533958942253,"[13.713032520187141, 4.210673107767797, 14.365874045850777, 12.363816220419581]",21.414824398747868,"[6.3480826828729855, 2.642162512029441, 6.602690877881804, 5.821888325963637]",46.17313793050402,0.0,[],22.007523792896567,0.0,0.0,0.0,"[3.625717433293954, 5.840822454741414, 5.754642347283021, 6.78634155757818]",[],"[0.0, 0.0, 0.0, 0.0]",[],"[6.732608803317831, 12.412365268567726, 12.191390634059026, 14.836773224559437]"
441,0,5,True,False,,0.0,2,2,,0,2,26.952255822714207,"[10.556012198856218, 16.396243623857988]",12.51137977085854,"[5.116844757553925, 7.3945350133046155]",10.353990155835554,0.0,[],6.0380561607758665,0.0,0.0,0.0,"[1.975, 4.063056160775866]",[],"[0.0, 0.0]",[],"[2.5, 7.853990155835553]"
441,0,6,True,True,1.0,5.99,5,5,True,0,5,31.39309605689101,"[6.103861034244038, 4.631841738049617, 7.116592506599992, 11.003810709613033, 2.536990068384335]",17.243307462187495,"[3.3805058033551747, 2.8064182778393505, 3.775471077573997, 5.291486176749083, 1.9894261266698907]",47.11142259579389,0.0,[],23.373454812359615,0.0,18.373454812359615,0.0,"[4.014577814299866, 4.803202814969717, 7.9288412355515465, 3.0648526636283755, 3.561980283910111]",[],"[3.0145778142998654, 3.803202814969717, 6.9288412355515465, 2.0648526636283755, 2.561980283910111]",[],"[7.7296867033329875, 9.75180208966594, 17.766259578337298, 5.294494009303526, 6.569180215154131]"
441,0,7,True,False,,0.0,2,2,,0,2,18.78130169230456,"[2.9583610397474867, 15.822940652557074]",9.32470765999878,"[2.15376080550152, 7.170946854497259]",22.342753812823148,0.0,[],10.713673987001028,0.0,0.0,0.0,"[3.2787600711864453, 7.434913915814583]",[],"[0.0, 0.0]",[],"[5.842974541503706, 16.499779271319444]"
441,0,8,True,False,,0.0,1,1,,0,1,6.093156505115946,[6.093156505115946],3.376331036995219,[3.376331036995219],7.082475642235533,0.0,[],3.7621655004718577,0.0,0.0,0.0,[3.7621655004718577],[],[0.0],[],[7.082475642235533]
441,0,9,True,True,1.0,5.99,7,7,True,2,9,64.47235651776882,"[11.125151956910074, 11.81572420108878, 13.075162957705533, 10.408126509387348, 4.087240772802786, 7.257675429752439, 6.703274690121865]",32.14421904192984,"[5.338809263194928, 5.608132438424625, 6.099313553505159, 5.059169338661066, 2.5940239013930864, 3.830493417603451, 3.6142771291475273]",93.893914832353,21.497100561728747,"[11.51418677097955, 9.982913790749198]",43.618626784617675,10.38386921907421,36.61862678461768,8.383869219074212,"[10.306886264970455, 5.022587584979217, 7.120211660064383, 5.220819257516496, 3.587708457315908, 2.044693872471405, 10.315719687299813]","[5.490532840682024, 4.893336378392187]","[9.306886264970455, 4.022587584979217, 6.120211660064383, 4.220819257516496, 2.587708457315908, 1.0446938724714048, 9.315719687299813]","[4.490532840682024, 3.893336378392187]","[23.86381093582168, 10.31432714097235, 15.692850410421494, 10.822613480811528, 6.63514989055361, 2.678702237106166, 23.886460736666187]"
