iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
587,0,0,True,True,1.0,0.99,2,2,True,3,5,13.016155147793729,"[8.857714555078847, 4.158440592714881]",7.076300507639554,"[4.45450867648075, 2.621791831158804]",19.742026761612987,21.72933570514335,"[4.522621934315041, 7.82393777633112, 9.38277599449719]",9.699390437029066,11.474440925005908,7.699390437029066,8.474440925005908,"[3.196063235359868, 6.503327201669197]","[2.763822554382866, 4.051335732769137, 4.659282637853904]","[2.196063235359868, 5.503327201669197]","[1.7638225543828663, 3.051335732769137, 3.659282637853904]","[5.630931372717611, 14.111095388895377]"
587,0,1,True,True,1.0,0.99,5,5,True,1,6,51.01765205931266,"[18.557958027073326, 8.622185732375398, 8.250068114671626, 8.99292400820349, 6.594516176988816]",24.896884303131937,"[8.237603630558597, 4.362652435626405, 4.217526564721934, 4.507240363199362, 3.571861309025638]",36.74733120295623,9.027361785889713,[9.027361785889713],19.33145916915293,4.520671096496988,14.331459169152932,3.5206710964969883,"[2.356028899518657, 1.975, 4.537960735996446, 3.6996149794943896, 6.762854554143437]",[4.520671096496988],"[1.3560288995186573, 0.9750000000000001, 3.5379607359964464, 2.6996149794943896, 5.762854554143437]",[3.5206710964969883],"[3.4769971782529674, 2.5, 9.071694194862683, 6.922089691011255, 14.776550138829325]"
587,0,2,True,True,1.0,0.99,5,5,True,1,6,51.82139133991173,"[4.038413294288604, 19.94066841523732, 16.69891723449935, 4.307717758673989, 6.83567463721246]",25.210342622565577,"[2.5749811847725557, 8.776860681942555, 7.512577721454747, 2.680009925882856, 3.6659131085128593]",37.12873416063853,4.212937776214923,[4.212937776214923],19.48020632264903,2.64304573272382,14.48020632264903,1.64304573272382,"[4.8326328335417035, 4.133677805341477, 1.975, 6.085083405524344, 2.453812278241505]",[2.64304573272382],"[3.8326328335417035, 3.1336778053414767, 0.9750000000000001, 5.085083405524344, 1.453812278241505]",[1.64304573272382],"[9.827263675747957, 8.035071295747375, 2.5, 13.038675398780368, 3.7277237903628335]"
587,0,3,True,True,1.0,0.99,3,3,True,0,3,36.63677891778979,"[17.193774503826685, 7.87039523066866, 11.572609183294444]",17.288343777938017,"[7.705572056492407, 4.0694541399607775, 5.513317581484833]",35.92179870633227,0.0,[],17.009501495469586,0.0,14.009501495469586,0.0,"[1.975, 8.023890490602867, 7.010611004866719]",[],"[0.9750000000000001, 7.0238904906028665, 6.010611004866719]",[],"[2.5, 18.009975616930426, 15.411823089401844]"
587,0,4,True,True,1.0,0.99,1,1,True,1,2,5.498599260140823,[5.498599260140823],3.144453711454921,[3.144453711454921],6.1381459649158,4.444969001717046,[4.444969001717046],3.393876926317162,2.733537910669648,2.393876926317162,1.7335379106696478,[3.393876926317162],[2.733537910669648],[2.393876926317162],[1.7335379106696478],[6.1381459649158]
587,0,5,True,True,1.0,0.0,1,1,,3,4,4.952833091190761,[4.952833091190761],2.931604905564397,[2.931604905564397],5.115903640238666,31.582666718768404,"[13.847739016941757, 11.319910352046751, 6.415017349779898]",2.9952024196930798,15.31724002031968,1.9952024196930798,12.31724002031968,[2.9952024196930798],"[6.400618216607286, 5.414765037298233, 3.50185676641416]",[1.9952024196930798],"[5.400618216607286, 4.414765037298233, 2.50185676641416]",[5.115903640238666]
587,0,6,True,True,1.0,0.99,3,3,True,1,4,20.816156944692644,"[5.209308869591396, 9.373790438413058, 6.233057636688191]",11.118301208430132,"[3.0316304591406444, 4.655778270981093, 3.4308924783083943]",26.885383276755377,9.007252678788369,[9.007252678788369],13.485299477934598,4.512828544727464,10.485299477934598,3.512828544727464,"[3.6430091522474126, 3.9210673163340166, 5.921223009353168]",[4.512828544727464],"[2.6430091522474126, 2.9210673163340166, 4.921223009353168]",[3.512828544727464],"[6.776946544224135, 7.489916195728248, 12.618520536802995]"
587,0,7,True,True,1.0,0.99,3,3,True,1,4,39.089948327373676,"[18.13821220953202, 8.953701732202822, 11.998034385638835]",18.245079847675733,"[8.073902761717488, 4.491943675559101, 5.679233410399146]",46.93329475698326,6.036374155826464,[6.036374155826464],21.30398495522347,3.3541859207723212,18.30398495522347,2.3541859207723212,"[5.342121317890232, 4.332362026096206, 11.629501611237034]",[3.3541859207723212],"[4.342121317890232, 3.332362026096206, 10.629501611237034]",[2.3541859207723212],"[11.133644404846748, 8.544518015631297, 27.255132336505213]"
587,0,8,True,True,1.0,0.99,3,3,True,1,4,40.20339347423548,"[12.080477160303488, 10.976394151048478, 17.14652216288352]",18.67932345495184,"[5.71138609251836, 5.280793718908907, 7.687143643524573]",32.00258594215346,7.279374109167232,[7.279374109167232],15.481008517439852,3.8389559025752207,12.48100851743985,2.8389559025752207,"[4.465234957931653, 2.1566400406641026, 8.859133518844096]",[3.8389559025752207],"[3.4652349579316533, 1.1566400406641024, 7.859133518844096]",[2.8389559025752207],"[8.885217840850393, 2.965743694010519, 20.15162440729255]"
587,0,9,True,True,1.0,0.99,4,4,True,1,5,36.76140391120209,"[8.373215794100814, 5.571041796394784, 10.505941864938771, 12.311204455767717]",18.336947525368814,"[4.265554159699318, 3.172706300593966, 5.097317327326121, 5.801369737749409]",56.226027833645944,10.526641230028641,[10.526641230028641],25.92815085512192,5.10539007971117,21.92815085512192,4.10539007971117,"[4.563586573352197, 6.15687899925457, 5.630622103451807, 9.577063179063346]",[5.10539007971117],"[3.5635865733521963, 5.15687899925457, 4.630622103451807, 8.577063179063346]",[4.10539007971117],"[9.137401470133836, 13.222766664755307, 11.873390008850786, 21.992469689906013]"
