iteration,control1_world_revenue,control2_world_revenue,control3_world_revenue,treatment_world_revenue,control1_world_rides_count,control2_world_rides_count,treatment_world_rides_count,standard_rider_revenue,subscription_revenue,early_membership_signup_revenue,standard_late_signup_revenue,membership_late_signup_revenue,control_world_rides_count,standard_rides_count,early_membership_rides_count,standard_late_signup_rides_count,membership_late_signup_rides_count,total_control_ride_minutes,total_standard_ride_minutes,early_membership_ride_minutes,standard_late_signup_ride_minutes,membership_late_signup_ride_minutes,avg_total_control_ride_minutes,avg_total_standard_ride_minutes,avg_early_membership_ride_minutes,avg_standard_late_signup_ride_minutes,avg_membership_late_signup_ride_minutes
10,28867.713192641386,28979.618339572167,44925.09110903743,42828.341374020245,6082,6033,18721,35.24157058612063,1884.96,0.0,28549.185588575558,12358.95421485857,6794,7,0,9357,9357,58424.90562215739,72.41428355415546,0.0,57826.11689378348,31689.626191945055,30.193749675533535,24.13809451805182,,30.370859713121575,16.64371123526526
11,31367.850922852474,31798.837173173888,48720.220089642266,45785.32582272947,6688,6550,20097,167.06055354891447,2031.48,0.0,30715.952747970317,12870.832521210243,6794,29,0,10034,10034,63281.66903295506,354.00141935619104,0.0,62166.54550761619,33002.13466976985,29.92041089028608,35.400141935619104,,30.295587479345123,16.082911632441444
12,31311.090539860234,31516.880374731787,48804.721693383166,45797.858917534424,6636,6500,20194,25.26014637124404,1999.8000000000002,0.0,30622.30734516723,13150.491425995951,6794,6,0,10094,10094,63269.46292271855,49.38499069549752,0.0,61995.65985940315,33719.208784605,30.4766199049704,49.38499069549752,,30.690920722476807,16.69267761614109
13,33136.92949921464,32940.968438479846,51395.705797243165,48691.13991696855,6948,6858,21488,96.24797385440749,2119.59,0.0,32239.384468030352,14235.917475083783,6794,22,0,10733,10733,67151.10128003755,190.37942013950638,0.0,65234.319148795774,36502.35250021482,30.662603324218058,21.1532689043896,,30.469088813076027,17.049207146293707
14,29784.3088641652,29356.174948169883,45878.447475155845,43587.0248115978,6249,6179,19303,39.064672956683935,1954.2600000000002,0.0,28831.5320716316,12762.168067009521,6794,7,0,9648,9648,60346.9458055518,82.21711014534341,0.0,58183.415568286146,32723.507864126976,30.068234083483706,41.108555072671706,,29.474881240266537,16.577258289831295
15,32099.903659190604,32022.828560734804,49754.45399204952,46693.5536086296,6760,6630,20566,73.80050670755857,2039.4,0.0,31048.33555714726,13532.017544774784,6794,16,0,10275,10275,64974.11194664258,148.20642745527837,0.0,62808.552710634,34697.48088403791,30.60485725230456,21.172346779325483,,30.489588694482524,16.8434373223485
16,31079.747520275443,30843.414473962082,49044.31535927669,46888.68991641181,6525,6492,20796,44.11342628339983,2063.16,0.0,30602.52223822621,14178.894251902202,6794,10,0,10393,10393,62960.891077629334,87.47032380358931,0.0,61880.82625186208,36356.139107441544,29.981376703633018,21.867580950897327,,29.693294746574896,17.44536425501034
17,27977.19971349805,27903.589527234373,43282.16876155981,40974.74562743712,5915,5832,18084,28.916185949931062,1829.52,0.0,27257.06000371719,11859.249437770002,6794,8,0,9038,9038,56569.7428551232,53.631246025464264,0.0,55077.076932608186,30408.331891717957,29.852107047558416,17.877082008488088,,29.803613058770665,16.45472504963093
18,30818.731569681717,30839.79496256888,47903.75737826064,44483.728024963435,6501,6329,19742,42.99966803991954,1967.13,0.0,29653.73215618077,12819.866200742748,6794,10,0,9866,9866,62353.157870978765,84.61453343569113,0.0,60014.69783636094,32871.45179677628,30.035239822244105,21.153633358922782,,30.203672791324074,16.543257069338843
19,31173.541230819836,30914.794964671222,47712.24217510272,45775.591633709286,6537,6498,20271,81.97592465691562,2015.6400000000003,0.0,30624.73946988822,13053.23623916415,6794,15,0,10128,10128,63170.618540563664,171.7331401459375,0.0,61922.408897149275,33469.83651067731,30.769906741628674,42.93328503648438,,30.413756825711825,16.439015967916166
20,29170.519865945178,29222.487101331673,44642.46673597401,42677.755281028,6155,6099,18798,17.785960930312285,1894.8600000000001,0.0,28877.008406480025,11888.100913617662,6794,4,0,9397,9397,59014.15350242353,35.34861777003149,0.0,58469.25232430775,30482.310034917078,30.37269866311041,11.782872590010497,,30.548198706534876,15.925971805076843
21,31445.14339209529,31720.48661620044,49571.25196565041,46441.80359554275,6649,6501,20385,106.86794801375596,2036.4300000000003,0.0,30628.884006836546,13669.621640692443,6794,23,0,10181,10181,63579.85485152638,215.0460205480922,0.0,62063.80514573472,35050.311899211396,29.962231315516675,26.880752568511525,,30.172000556993055,17.039529362766842
22,29672.104074113948,29514.648696027245,45710.184769705746,43563.7010535242,6233,6188,19250,127.95637653093249,1901.7900000000002,0.0,29050.636009436246,12483.318667557018,6794,24,0,9613,9613,60100.26685670243,266.5548116177756,0.0,58742.65643445191,32008.50940399235,30.789071135605752,44.42580193629593,,30.579206889355497,16.662420304004346
23,30913.074514830085,30925.354389582186,48060.029407130976,46027.29528059377,6514,6484,20309,58.18536836418012,2048.3100000000004,0.0,30623.894650108796,13296.90526212079,6794,11,0,10149,10149,62561.72952520534,120.98812401071824,0.0,61997.16576950974,34094.6288772328,29.87666166437695,30.24703100267956,,29.964797375306784,16.478795977396228
24,31545.34212810151,31453.52783833981,48849.0526544856,45487.62583012505,6628,6463,19988,38.361088093878166,1998.8100000000002,0.0,30327.613846452303,13122.840895578867,6794,10,0,9989,9989,63890.62084128592,72.72073870225171,0.0,61386.189349877706,33648.309988663765,30.438599733818922,24.2402462340839,,30.404254259473852,16.665829613008302
25,31261.49709236607,31581.786920966926,49184.194422271146,46112.34110746452,6620,6487,20225,50.323254824815265,2017.6200000000003,0.0,30670.20992562215,13374.187927017552,6794,11,0,10107,10107,63183.32587786172,100.82885852516735,0.0,62169.769040056795,34292.78955645527,29.987340236289377,20.16577170503347,,30.505284121715796,16.826687711705233
26,31557.896926805384,31833.927042197414,49229.55656980877,47136.049798559216,6671,6618,20741,27.05469179777254,2093.8500000000004,0.0,31506.070096699987,13509.075010061453,6794,5,0,10368,10368,63812.556222577914,56.55049178916035,0.0,63861.718196666625,34638.65387195244,29.91681023093198,28.275245894580173,,30.194665814026774,16.37761412385458
27,33476.78008675965,33533.156702073844,52138.73994881182,49418.574296506704,7052,6976,21808,36.96309251732981,2153.25,0.0,32868.14855898815,14360.212645001226,6794,8,0,10900,10900,67755.8463763068,74.26433978802515,0.0,66541.40656150808,36821.0580641057,30.603363313598372,37.13216989401258,,30.593750143222103,16.929222098439404
28,31060.48858646202,30747.92789098865,47586.81048093632,44944.324595853905,6504,6400,19820,57.02731381758644,1999.8000000000002,0.0,29980.319431849974,12907.177850186345,6794,14,0,9903,9903,62965.35534990261,110.32644568611907,0.0,60616.203671410185,33095.32782099063,30.374025735601837,18.387740947686513,,30.008021619509993,16.383825653955757
29,29750.770777790156,29723.760319212946,45910.14462130005,43784.01403563308,6272,6212,19415,132.21845588228072,1921.5900000000001,0.0,29234.27312725282,12495.932452497975,6794,27,0,9694,9694,60201.976353308084,269.79091251866856,0.0,59134.03365962262,32040.8524423025,30.668352701634277,44.96515208644476,,30.46575665101629,16.507394354612313
30,32831.758121056024,32820.867058982534,51530.22960958892,48825.21748910627,6841,6768,21262,131.25623430814017,2135.4300000000003,0.0,32175.816767209923,14382.714487588208,6794,30,0,10616,10616,66642.9695411693,259.63137002087217,0.0,65314.91478771774,36878.75509638002,30.196180127398865,25.963137002087215,,30.280442646137107,17.097243901891524
31,28999.890287168757,28687.838089120032,44874.22052474255,42810.18904067647,6069,6034,18931,76.23495030694828,1891.89,0.0,28309.874887583144,12532.189202786383,6794,19,0,9456,9456,58797.154582483985,146.7562828383289,0.0,57222.75612200806,32133.818468683035,30.30781164045566,24.459380473054818,,29.943880754582974,16.815184965297245
32,31807.683911893284,31580.957142554962,48945.548481707025,45636.0142423888,6704,6578,20262,0.0,2021.5800000000002,0.0,30533.026306144762,13081.407936244039,6794,0,0,10131,10131,64368.420286905864,0.0,0.0,61659.04181062759,33542.07163139497,30.419858358651165,,,30.195417145263267,16.426087968361884
33,25341.761697368598,25543.270652544532,39932.1721407043,38027.75906250566,5347,5306,16657,79.45521938012584,1630.53,0.0,25162.744378883428,11155.029464242107,6794,15,0,8321,8321,51268.61973684255,165.26979328237394,0.0,51009.600971495965,28602.63965190284,30.66305008184363,55.089931094124644,,30.9712209905865,17.3665085925336
34,30062.095627419312,30074.646924867437,46849.0419832935,44243.00531815131,6357,6274,19546,47.534167681856204,1953.2700000000002,0.0,29384.502783368276,12857.69836710117,6794,10,0,9768,9768,60782.296480562334,96.2414555945031,0.0,59419.23790607251,32968.45735154145,30.149948651072588,24.060363898625774,,30.116187484071215,16.70981112597134
35,29746.453624998012,29647.710092300375,45980.79117007615,43726.48684187552,6278,6231,19357,63.80848334982058,1931.4900000000002,0.0,29176.112713543233,12555.075644982468,6794,17,0,9670,9670,60175.522115379514,120.02175217902712,0.0,58969.51977831597,32192.5016538012,30.25415893181474,20.003625363171185,,30.22527923030034,16.500513405331215
36,29522.405750894242,29557.857703912552,45619.89609595049,43796.21907895223,6187,6156,19191,87.84583666775123,1936.44,0.0,29248.822539431403,12523.110702853079,6794,17,0,9587,9587,59834.37372024164,181.65599145577238,0.0,59286.72446008052,32110.540263725845,30.29588542797045,30.275998575962063,,30.31018632928452,16.4164316276717
37,30740.646342214914,30563.5517034582,47418.25294124349,45692.06460141619,6471,6461,20298,65.144421426155,2051.28,0.0,30441.98424298669,13133.655937003343,6794,12,0,10143,10143,62229.862415935684,136.26774724655132,0.0,61528.164725606905,33676.040864111135,29.918203084584462,34.06693681163783,,29.695060195756227,16.25291547495711
38,29025.387695192177,28798.35267266583,45171.09180260441,42095.36991309449,6068,5957,18617,15.331296742982738,1842.3900000000003,0.0,27879.531335474112,12358.117280877392,6794,3,0,9307,9307,58865.09665433891,31.618709597391632,0.0,56421.87521916439,31687.480207377932,30.531689136067897,15.809354798695816,,30.318041493371513,17.027125312938168
39,29652.103478159996,29476.899316913434,45941.74342450166,41816.053793146464,6147,5893,18349,76.2628387110137,1838.4300000000003,0.0,27747.957608818186,12153.403345617266,6794,17,0,9166,9166,60269.49609784613,151.95599669490693,0.0,56333.22463799534,31162.572681069913,30.609190501699405,30.391199338981387,,30.335608313406215,16.781137685013416
40,31557.298262346972,31552.002105148735,49631.37359179698,47430.83091873498,6610,6578,20898,50.23457629691882,2097.8100000000004,0.0,31221.97909965561,14060.807242782455,6794,14,0,10442,10442,63967.43144191531,92.90916999209954,0.0,63284.56179398874,36053.3519045704,29.84947804102441,18.581833998419906,,29.865295797068775,17.014323692576877
41,32755.065482186426,32872.378958536196,51564.5187545448,48589.31156733701,6909,6805,21396,94.70918112376809,2115.63,0.0,32034.764540866458,14344.207845346786,6794,20,0,10688,10688,66271.96277483698,191.56200288145664,0.0,64884.01164324733,36780.02011627381,30.20599944158477,23.94525036018208,,30.362195434369365,17.211052932275997
42,29883.592417292188,29995.64543066361,46452.308377092835,43880.61146800679,6259,6165,19244,0.0,1940.4,0.0,29351.891577915478,12588.31989009131,6794,0,0,9622,9622,60575.877993056885,0.0,0.0,59540.7476356807,32277.743307926434,30.303090541799342,,,30.37793246718403,16.46823638159512
43,29546.228872718093,29621.070266590134,46438.194518905446,44418.55844023448,6217,6179,19522,53.147314376258265,1972.0800000000004,0.0,29296.281136257614,13097.049989600608,6794,12,0,9755,9755,59818.53557107203,105.5059342980981,0.0,59352.00291348106,33582.17946051438,29.76046545824479,26.376483574524524,,29.79518218548246,16.858523825559427
44,28150.42874483423,27822.89800383217,43223.82523994062,40502.380134181854,5885,5779,17971,77.91637862296544,1823.5800000000002,0.0,27011.27630764294,11589.607447915952,6794,17,0,8977,8977,57090.842935472385,156.1958426229883,0.0,54623.785404212664,29716.94217414347,30.016216054401884,39.048960655747074,,29.654606625522618,16.13297620746117
45,28647.069436367077,28729.525033413003,44825.0362292206,43057.23917051585,6027,6007,18881,51.01165024605881,1888.92,0.0,28538.727678117782,12578.579842152007,6794,11,0,9435,9435,58000.17804196686,102.59397498989438,0.0,57819.81455927636,32252.768826030784,30.208426063524406,34.197991663298126,,30.303886037356584,16.903966889953242
46,29988.01797790132,29963.852700305513,47124.849125032066,44774.13418662704,6300,6240,19722,24.749432534378226,1928.52,0.0,29526.685481933557,13294.179272159108,6794,6,0,9858,9858,60738.507635644404,48.07546803686724,0.0,59781.244825470654,34087.63915938233,30.800460261482964,24.03773401843362,,30.68852403771594,17.498788069498115
47,31670.648610220902,31471.8988032737,49277.52724492339,46375.65914704651,6633,6525,20452,29.046310300592406,2035.44,0.0,30690.77192058523,13620.400916160686,6794,8,0,10222,10222,64199.099000566406,53.964898206647185,0.0,62117.363898936484,34924.10491323253,30.382914813330054,13.491224551661796,,30.212725631778447,16.986432350794033
48,29490.367355913688,29577.177287101505,45733.777809411964,43612.8895638414,6253,6193,19326,21.3181124245804,1939.41,0.0,29185.10133405577,12467.060117361052,6794,4,0,9661,9661,59582.9932202915,44.40541647328307,0.0,59023.33675398915,31966.820813746293,30.001507160267625,22.202708236641534,,30.129319425211406,16.31792792942639
49,29908.283437330734,29629.912232687384,46044.573742036475,43795.97427631701,6302,6235,19420,23.53583995613767,1980.9900000000002,0.0,29153.841614494962,12637.606821865902,6794,6,0,9707,9707,60528.931890591615,44.963692195224795,0.0,58845.74772947426,32404.12005606641,29.831903346767675,22.481846097612397,,29.408169779847206,16.19396304650995
50,30682.386106716345,30463.823418410833,47142.4879995591,44931.47650594718,6438,6390,19826,63.49818650936562,1973.0700000000002,0.0,30016.07192784937,12878.836391588451,6794,14,0,9906,9906,62165.09258132396,126.9184269470913,0.0,60692.49212269069,33022.65741432936,30.744358348824907,31.729606736772826,,30.45283096973943,16.56932133182607
51,29251.733572874073,29712.168168627046,46048.80922922583,42051.08643614445,6188,5942,18275,126.30465365302993,1804.7700000000002,0.0,28025.12790854465,12094.883873946766,6794,27,0,9124,9124,59137.7783919848,254.6273170590511,0.0,56938.78950908884,31012.522753709658,30.46768593095559,42.43788617650852,,31.23356528200156,17.011806228036015
52,31297.587515859774,31129.621378051597,49226.010778785756,47099.27748742671,6605,6584,20832,39.91977496567455,2091.87,0.0,30884.72935069209,14082.758361768943,6794,8,0,10412,10412,63314.326963743,81.84557683506296,0.0,62386.4855145951,36109.636825048576,29.711087265951665,27.281858945020986,,29.525075965260342,17.089274408447032
53,28910.95546158564,28833.123748559254,44712.443328083275,41603.05086180249,6063,5901,18237,77.03498189017924,1835.46,0.0,27648.63487523496,12041.921004677348,6794,15,0,9111,9111,58584.501183552915,159.06405612866473,0.0,55983.67916726912,30876.72052481371,30.30755363867197,53.021352042888246,,30.196159205646772,16.654110315433503
54,29715.571813856684,29843.17859609345,46170.229260077984,43965.22162697604,6190,6126,19169,99.4728031413982,1916.6400000000003,0.0,29317.738561817863,12631.370262016777,6794,21,0,9574,9574,60321.97900988894,201.21231574717484,0.0,59591.63733799452,32388.128876966097,30.63584510405736,40.24246314943497,,30.78080441012114,16.729405411656042
55,33695.28862362737,33554.47130239584,51476.140571704185,48838.290088582304,7024,6924,21364,7.526482025542421,2113.6500000000005,0.0,32916.091627219714,13801.021979337045,6794,2,0,10681,10681,68387.91954776249,14.170466732160055,0.0,66748.95289030696,35387.235844453964,31.457184704582563,7.085233366080027,,31.264146552836984,16.57481772573956
56,30854.16213646542,30591.04228396775,47389.88113619547,44709.19220268546,6447,6357,19674,85.75184691498401,1979.0100000000002,0.0,29823.28025694149,12821.15009882898,6794,18,0,9828,9828,62582.467016578,173.72268439739494,0.0,60367.38527420895,32874.74384315124,30.468581799697176,43.430671099348736,,30.198792033121038,16.445594718935087
57,29344.27406102778,29358.669023691014,45823.73793545719,40908.8087299294,6189,5904,18091,56.31238418968949,1821.6000000000004,0.0,27119.935554049185,11910.960791690526,6794,11,0,9040,9040,59372.49759237892,116.18560048638331,0.0,54869.06552320304,30540.925106898787,29.8204407796981,38.7285334954611,,29.820144306088608,16.598328862444994
58,31297.283741195093,31263.153486986183,48336.74837886813,45645.33901994925,6559,6460,19925,130.62366446410638,2003.7600000000002,0.0,30451.69143362538,13059.263921859763,6794,27,0,9949,9949,63431.49677229511,265.70170375411897,0.0,61712.029316988155,33485.29210733273,30.437378489584987,26.570170375411898,,30.490133061753042,16.54411665382052
59,27589.605478490266,27146.109707950294,42022.12710103717,39075.33963227943,5755,5605,17302,35.27048112758388,1716.6600000000003,0.0,26136.12572268401,11187.283428467832,6794,8,0,8647,8647,55986.16789356479,69.92431058354842,0.0,52843.91210944617,28685.342124276493,31.017267531060824,17.481077645887105,,30.475151158850156,16.542873197391287
60,33233.76776435359,33186.551711645036,51621.80307520405,49033.70657720218,6932,6847,21511,80.7788912335668,2150.2799999999997,0.0,32568.29041379997,14234.357272168643,6794,15,0,10748,10748,67440.43016500922,168.6638236758123,0.0,66046.898496923,36498.35197991959,30.529846158899602,28.11063727930205,,30.408332641308927,16.804029456684894
61,28359.477628333243,28209.110332058477,43577.46448567548,37743.62773266505,5966,5554,16667,7.833933137899407,1672.1100000000001,0.0,25189.80275984967,10873.881039677484,6794,3,0,8332,8332,57419.17340598267,12.394700353588227,0.0,50891.80194833249,27881.74625558329,30.52587634555166,12.394700353588227,,30.131321461416512,16.507842661683416
62,30541.766311047635,30607.739401492112,47567.200329085914,45342.64229659023,6350,6298,19740,23.964573375532837,1987.92,0.0,30195.392086480228,13135.365636734468,6794,6,0,9867,9867,62030.170028327266,46.06300865521241,0.0,61365.10791405186,33680.42470957556,30.421858768184045,15.354336218404136,,30.560312706201127,16.773119875286636
63,32599.562470466597,32424.447489248294,50484.480506331136,46516.57091557007,6887,6654,20570,26.32131781799307,2079.99,0.0,30927.509219527674,13482.750378224402,6794,8,0,10281,10281,65929.64736017077,46.977737994854024,0.0,62475.664665455566,34571.15481596001,29.913633103525758,15.659245998284675,,29.73615643286795,16.454619141342224
64,27850.38305348163,27895.949720428405,42941.63057187313,39099.48711366425,5861,5634,17332,81.74064218881738,1733.4900000000002,0.0,26208.070291602857,11076.186179872571,6794,18,0,8657,8657,56383.03347046572,163.43754407389073,0.0,53046.334081032976,28400.477384288642,30.3134588550891,40.859386018472684,,30.294879543708152,16.219575890513216
65,29743.464584248395,29125.76565028566,45963.709027603574,43452.94028768103,6190,6107,19304,0.0,1895.8500000000001,0.0,28551.584801547855,13005.505486133176,6794,0,0,9652,9652,60393.498933970244,0.0,0.0,57629.70461935348,33347.44996444404,31.01874624240896,,,30.093840532299467,17.41381199187678
66,30917.210079590026,30684.099978661856,47723.172697435235,44949.669729029556,6471,6339,19758,17.175814476485893,1981.98,0.0,29942.11838099348,13008.395533559586,6794,4,0,9877,9877,62682.58994766674,33.784139683297155,0.0,60587.48302818842,33354.86034246048,30.561964869657114,16.892069841648578,,30.263478036058153,16.66076940182841
67,30682.421641706642,30581.888858741193,47532.85649179426,44795.573739437896,6424,6314,19660,20.167374102755872,1982.9700000000003,0.0,29805.32958639913,12987.10677893601,6794,6,0,9827,9827,62201.08113258114,36.32660026347659,0.0,60375.204067690065,33300.27379214361,30.312417705936227,18.163300131738296,,30.14238845116828,16.625199097425668
68,31728.08525421472,31919.62290529172,49377.050729039736,46350.062572690105,6677,6540,20354,11.689244315903927,2073.06,0.0,31028.219253982657,13237.094074391538,6794,2,0,10176,10176,64233.551933883886,24.844216194625453,0.0,62926.203215340145,33941.2668574142,29.848304801990654,24.844216194625453,,30.050717867879726,16.208818938593218
69,29987.882203554203,29945.95689519374,46414.49443313421,43231.835476921304,6273,6114,19023,5.578981007318497,1900.8000000000002,0.0,28825.54358682272,12499.912909091263,6794,1,0,9511,9511,60807.390265523594,11.740976941842298,0.0,58419.342530314665,32051.058741259647,30.51048181912875,11.740976941842298,,30.426740901205555,16.69325976107273
70,28801.646725956885,28703.881356576774,44252.14879302638,42437.836964972,6061,6022,18734,64.13469729673254,1870.1100000000001,0.0,28414.67801618166,12088.914251493605,6794,12,0,9361,9361,58309.35057937662,133.67871101726294,0.0,57473.533374824765,30997.21602947078,30.608582981300064,44.55957033908765,,30.425374999907234,16.40932558468543
71,27452.403579603073,27638.470859210218,43418.92151924397,41468.99158488371,5807,5774,18190,0.0,1827.54,0.0,27381.425092031583,12260.02649285213,6794,0,0,9095,9095,55501.03481949506,0.0,0.0,55454.93613341431,31435.965366287513,29.775233272261296,,,30.04059378841512,17.029233676212087
72,28804.150371298994,28795.69797100348,44919.11940139156,42064.860655626144,6086,5963,18598,50.39599942770028,1854.27,0.0,27909.797435227898,12250.397220970546,6794,12,0,9293,9293,58251.667618715364,98.45128058384688,0.0,56448.1985518664,31411.2749255655,30.16658084863561,24.61282014596172,,30.13785293746204,16.770568566772823
73,30614.744691728316,30779.154600758422,47340.49433970089,43222.485335594654,6437,6221,18997,10.773716225861609,1854.2700000000002,0.0,29090.75963741997,12266.681981948826,6794,1,0,9498,9498,61994.21715827772,25.06081083554258,0.0,58971.1785574871,31453.03072294571,31.231343656563084,25.06081083554258,,31.484879101701605,16.792862105149872
74,27730.283133023695,27447.658004581066,42271.22243095592,40119.23183056129,5823,5753,17675,80.46353086034289,1788.9300000000003,0.0,26860.11514712096,11389.723152579989,6794,17,0,8829,8829,56172.52085390691,162.72700220600737,0.0,54249.01319774605,29204.41833994869,30.478850164897946,32.54540044120147,,30.021590037490895,16.161825312644545
75,34015.32909324215,33802.5986341737,52497.32944748987,50199.99982880008,7162,7121,22162,38.747013039262065,2173.05,0.0,33463.598414527354,14524.604401233457,6794,10,0,11076,11076,68854.68998267218,73.7102898442617,0.0,67642.56003724963,37242.575387778095,31.001661405975767,24.570096614753897,,30.816656053416686,16.967004732472937
76,30867.124866548285,30919.45113149399,47950.97649162572,45413.9501214515,6470,6388,19988,13.807898680208273,2010.69,0.0,30270.167301900296,13119.284920870992,6794,4,0,9992,9992,62556.73042704688,25.148458154380187,0.0,61349.14692794947,33639.19210479742,30.235249118920677,12.574229077190093,,30.20637465679442,16.56287154347485
77,30815.317458123136,30710.1272674254,47303.468284697185,43665.255352773034,6486,6286,19308,33.73213406820856,1893.8700000000001,0.0,29317.059796501693,12420.593422203134,6794,8,0,9650,9650,62382.8652772388,65.97983094412452,0.0,59307.84563205562,31847.675441546497,30.959238350986997,21.993276981374837,,31.002533001597293,16.648026890510454
78,32996.181980359965,32683.775943824687,50430.39923661109,47306.3679388024,6889,6750,20844,116.18284002163048,2074.05,0.0,31597.650290909674,13518.484807871102,6794,22,0,10411,10411,66941.49225733324,241.4944615939243,0.0,63932.43664335813,34662.78155864385,30.96276237619484,48.298892318784866,,30.516676202080255,16.545480457586564
79,29888.816063277234,30040.658255293052,46968.94072390675,43670.58546443351,6313,6158,19275,102.20014528934266,1906.7400000000002,0.0,28892.13074579926,12769.51457334491,6794,21,0,9627,9627,60450.810418659574,208.2055007419042,0.0,58508.02755333143,32742.345059858744,30.255660870199986,29.74364296312917,,30.37799976808485,17.000179158805164
80,30359.85043967911,30639.4393004007,47326.93370087066,44188.42156622252,6390,6253,19454,106.7574172463582,1937.43,0.0,29570.327192541085,12573.906956435076,6794,22,0,9716,9716,61461.154973536184,217.32671088809795,0.0,60016.22357061816,32240.787067782243,30.381193758544825,43.46534217761959,,30.667462223105854,16.474597377507532
81,29714.73908599985,29669.809013417085,45489.067018562084,42740.2754805457,6265,6140,18859,75.68617752474137,1882.98,0.0,28758.841418700486,12022.767884320474,6794,15,0,9422,9422,60127.53611794832,155.60558339677274,0.0,58156.00363769354,30827.609959796086,30.755772950357198,38.901395849193186,,30.576237454097548,16.207996824288163
82,30728.518820774247,30926.225240453932,47494.687080923046,44480.68805937645,6452,6318,19513,83.69886652573356,1955.2500000000002,0.0,29980.582695073317,12461.156497777403,6794,17,0,9748,9748,62247.48415583139,171.02273468136815,0.0,60852.77614121363,31951.683327634368,30.513472625407545,28.503789113561357,,30.811532223399308,16.17806750766297
