iteration,mau_month0,total_customers_month0,new_signups_percentage_month0,existing_customer_uptake_percentage_month0,total_late_signups,new_customer_uptake_percentage_month0,probability_membership_new_signup_active_next_month0,probabillity_membership_existing_active_next_month0,probability_standard_active_next_month0,counterfactual_ride_revenue_month0,counterfactual_number_rides_taken_month0,total_membership_revenue_month0,treatment_world_number_rides_taken_month0,num_customers_riding_over_breakeven,total_membership_revenue_riders_over_breakeven,total_standard_revenue_riders_over_breakeven,total_membership_ride_mintues_riders_over_breakeven,total_standard_ride_mintues_riders_over_breakeven,num_membership_rides_riders_over_breakeven,num_standard_rides_riders_over_breakeven
17,1927,1979,0.027153471238460774,0.03949829793026966,1115,0.06855445051203646,0.5864833834496063,0.46347100797163415,0.3816198697882418,29077.441935800944,6099,33776.92836884412,6196,1114,7538.884172926546,0.0,19330.472238273192,0.0,6871,0
18,1907,2150,0.12788118802839557,0.013059767516947264,1307,0.06387839831734028,0.534635808934878,0.5339922130583273,0.06659702615742023,32686.462252279707,6856,40152.354321413455,6900,1279,8843.272373810603,21.104990778007387,22675.057368745132,43.85895071283946,7895,4
19,1922,2040,0.06152459674626091,0.009036409393734157,1236,0.09684215697042618,0.5226796278238375,0.5123689633189586,0.15128883707116864,30659.898859623987,6485,37551.82362166415,6513,1186,8127.433906586616,99.56529162284872,20839.57411945286,204.0135682637147,7292,20
20,1988,2144,0.07895875968908628,0.04635679063512367,1216,0.055074013443369346,0.5117920566084443,0.55042568663634,0.23341575886347984,32350.359699832126,6713,37840.980094533785,6829,1227,8673.389491477992,55.03370258657199,22239.460234558956,115.47103227326153,7696,10
21,1894,2017,0.06514051004431598,0.01481177438439885,1190,0.08091096982808518,0.6295261946583192,0.593189270285998,0.04729078285348312,30444.36358278861,6368,36548.0137338103,6391,1145,8007.53273532087,0.0,20532.135218771466,0.0,7143,0
22,1890,1961,0.037790746535257415,0.022216429965415264,1156,0.0853952531158104,0.5323493817307514,0.3076404233035521,0.20561529859549188,29312.477416047786,6184,35780.9475099426,6253,1144,8186.801272349669,0.0,20991.798134229917,0.0,7126,0
23,1966,2111,0.07419404334048817,0.007792386747633208,1241,0.041936694591645896,0.6447064675895664,0.3876891625723145,0.014110259239054235,31157.21449089599,6577,37806.53188095484,6618,1176,8101.875630935283,0.0,20774.040079321236,0.0,7331,0
24,2032,2141,0.05412585040291616,0.010512451199403264,1276,0.0518593123344982,0.5955889375337938,0.5769553099960332,0.06393958338352237,32224.016717886043,6803,39328.998943106046,6829,1217,8401.84832743034,35.90653157138894,21543.200839564975,71.55520915740752,7627,8
25,1922,2110,0.09785921884986704,0.004393749813165896,1274,0.03605263095075212,0.5254002460652986,0.5102543221827001,0.08151888584833043,31542.516368063836,6673,38609.360334372584,6673,1212,8417.613150610492,67.61826271093504,21583.623463103828,134.91862233573087,7483,15
26,1919,1973,0.02825549738301186,0.017780264538097404,1160,0.09119061509386782,0.549909207945609,0.4658745650362195,0.21182374255460013,30033.606052652976,6293,36222.30413955887,6340,1122,7589.972489962464,21.33004574671415,19461.46792298068,44.436014735164484,7075,4
27,2028,2153,0.0618192410714287,0.030230142236575042,1233,0.0555036131673259,0.5317726199605457,0.47291106460726673,0.24062308107477107,31687.013033279018,6706,37756.31419599524,6798,1219,8402.214464855871,41.526421738674486,21544.139653476595,80.83697881711404,7583,10
28,1944,2140,0.10127599195924235,0.011497027697092583,1200,0.10801444268199949,0.6419246752523717,0.5175768057302763,0.19085106079872136,31474.39884145873,6608,36973.016842054436,6684,1153,8121.477702824901,134.57062550533612,20824.30180211513,288.64262950086186,7236,22
29,1858,2021,0.08778360655286571,0.04307813494965686,1183,0.09432631342509044,0.6060125470487979,0.4570463402910868,0.19019330740681759,30525.903484785034,6424,36638.29192880746,6523,1201,8237.585256176199,0.0,21122.013477374865,0.0,7445,0
30,1773,1959,0.10523865758128498,0.003680686793859941,1135,0.15870681745141882,0.6180789929340637,0.358803479461982,0.048189030192133775,28934.800408989016,6129,35081.883633403675,6168,1095,7724.103511332372,21.32759540018217,19805.393618800954,41.86562923123633,6855,5
31,1858,1978,0.06464077449770789,0.01902162589544942,1175,0.07614119541810468,0.5524668170564372,0.45988788988570223,0.14524260733118918,29717.782186378718,6257,35885.57114744632,6316,1141,7761.1702508665885,0.0,19900.436540683557,0.0,7113,0
32,1865,2036,0.09185900063706133,0.023796360759624012,1196,0.045740751337249703,0.5985320101671312,0.5531117635098919,0.3448087531639552,30205.805492637737,6436,36603.61995618271,6487,1172,7822.500502446612,31.069691024657235,20057.693596016954,64.28125903758266,7242,6
33,1868,1929,0.03265530463260189,0.012176241781783594,1135,0.09108119173779242,0.5258438752168488,0.5960664900155352,0.1614677407937583,29083.238347027716,6089,34832.72044157324,6113,1085,7560.731918675154,45.95383815520586,19386.492099167062,94.75343116719449,6764,9
34,1924,2022,0.050972476643854674,0.02774861515943017,1162,0.06781213358340996,0.5503015134574666,0.5659417428135187,0.22353760000820175,30342.215246454645,6351,35845.37984850768,6414,1147,8039.031520419531,38.5135462462241,20612.901334409056,75.67575960570284,7148,9
35,1711,1801,0.053092964158380905,0.009463252236385847,1044,0.05436075880337822,0.5315573500574159,0.5973501728208809,0.0803574886900008,26625.68880013814,5625,32330.64696974145,5646,997,7270.279499991073,38.91510738224139,18641.742307669418,79.26950610831125,6277,8
36,1967,2176,0.10650048587762197,0.011586979020386705,1269,0.04598272250972535,0.5421574645649396,0.2849459231543019,0.2698170518442901,31907.41674335584,6720,38292.6376254618,6746,1214,8141.414458856982,0.0,20875.421689376875,0.0,7422,0
37,1894,2029,0.07132948596807695,0.041420406652097,1172,0.11377940425907337,0.6549477340221865,0.44141087123915657,0.38663404582963423,30773.018325375204,6431,35771.298215332674,6509,1182,7660.063258779143,26.690702206339303,19641.187843023443,55.61718514445975,7236,5
38,2000,2108,0.0544076230865237,0.048113378389717604,1211,0.06569257257600002,0.5936061076935853,0.5175540506330568,-0.09690344627307301,31537.697432193276,6589,36897.62258466163,6735,1230,8689.471850720249,26.886028996044427,22280.697053128846,56.11802306678057,7657,5
39,2040,2184,0.07082346911627939,0.005834592638783354,1316,0.05817186867595974,0.6086835578491852,0.45615130463880815,0.14820041127269223,33190.127201761876,6949,40765.54963931996,6964,1245,8805.751027781098,20.08620317517707,22578.848789182302,36.11846967994121,7823,6
40,1839,1961,0.06674173946124895,0.0023897599900810254,1172,0.08277266091632428,0.4641295058707202,0.5791280331699132,0.21944955593918283,29349.633959218245,6177,35934.17881853936,6182,1117,7866.853309664781,29.33055298820419,20171.41874273021,62.386033303087665,6967,5
41,1872,2019,0.07871497643626044,0.02718258746760015,1175,0.057864706362407654,0.6207224501844041,0.47056344338530687,-0.018993195142996577,29926.664508400587,6390,35716.907353033355,6434,1138,7763.816749843787,54.3219072094772,19907.22243549689,116.21001848583896,7049,9
42,1949,2087,0.07121750149499084,0.02060378415697092,1216,0.1114933545730381,0.5565146753079672,0.5109690089484805,0.12748301928218522,31419.30692659469,6604,37791.25496324249,6678,1213,8347.683269027033,39.289687545338225,21404.316074428287,75.10176293676466,7577,10
43,1925,2022,0.050888456317802935,0.0062248959213742384,1201,0.08319022287006751,0.6488261529450088,0.44813448461286437,0.2576372547457926,30637.217801624007,6447,37315.8416061977,6482,1146,8031.217144519684,22.921529796787823,20592.864473127393,45.95264050458417,7229,5
44,1824,2041,0.11932540076512956,0.05664240174073174,1199,0.044950827798695754,0.6100388780615379,0.4227991603514932,0.2637341042365512,31129.962488355406,6561,37150.93677576257,6684,1232,8688.243767916329,0.0,22277.548122862383,0.0,7673,0
45,1902,2043,0.0743369963647389,0.007723908804682664,1233,0.06998046494988282,0.6733179915639326,0.5367399923379035,0.12224255781457416,30593.48441324704,6442,38073.05884796866,6466,1191,8484.633222231134,34.20263714344597,21755.469800592655,67.18624908575889,7393,8
46,1958,2170,0.10847443984536814,0.03190087633204313,1247,0.07514964366500378,0.6489105710393179,0.4725042670194492,0.0986605987559859,32400.43401445821,6855,38644.07716660533,6937,1251,8442.589809350917,23.692511951547274,21647.66617782286,45.365415260377624,7791,6
47,1815,1992,0.09780949259498586,0.03885100147230688,1136,0.05180309525433539,0.5314617704341486,0.5817642894697662,0.04170369261089807,29612.449735655857,6276,35192.79936886064,6371,1137,7985.175281509615,19.93864329032033,20474.80841412722,40.86831612902648,7133,4
48,1800,1873,0.040708805683912275,0.013222072313349575,1091,0.07165902773190798,0.5623870851797835,0.4982907371501608,0.35108292969293026,27768.72461822832,5851,33463.41381904474,5900,1049,7468.949502267169,48.25934176368497,19151.152569915816,98.10087631714094,6569,10
49,1795,1880,0.047365814680110634,0.025469106850852435,1125,0.08130316847584898,0.6446572643176633,0.450279541856491,0.17380096597258604,28719.421587259414,6008,34471.699609290816,6073,1113,7852.451793486924,52.934656161058925,20134.491778171596,107.52475938733056,6922,11
50,1743,1878,0.0779990341701003,0.004232593116841602,1087,0.10763308335044144,0.6575044438804467,0.51715158486327,0.14041574722710992,28036.16420627124,5905,33621.43784111103,5924,1052,7318.75688729572,94.10529226510923,18766.043300758254,200.26998016694677,6630,16
51,1870,2019,0.07977369627057831,0.027050871732009436,1172,0.03728373636563166,0.5748315390622585,0.3750257237570266,0.060554471766878185,30336.65598009872,6401,36165.52294674596,6457,1148,7982.890845158536,17.992057314172577,20468.950885021888,35.87707003633994,7161,4
52,1951,2034,0.04263150154473096,0.015094591012210922,1193,0.0754084028376857,0.6612116789200653,0.5382756301813535,0.13556327825287165,30233.98221067207,6347,36092.5355758688,6398,1151,7764.512532979406,67.82499889121391,19909.00649481899,143.1410227979844,7074,12
53,1920,2092,0.08971188127320562,0.0026838229731914,1265,0.047211527760270974,0.6550368231056917,0.4324537087461742,0.04662012584371722,31402.83680812639,6598,38159.658925196505,6624,1197,8047.516651988332,0.0,20634.658082021368,0.0,7364,0
54,1714,1791,0.04496410566014372,0.01567148036997104,1069,0.12380164274953247,0.6069416048853009,0.5836445545256138,0.14145477234134815,27401.95914668151,5763,33591.671362792236,5798,1054,7448.7642684372595,27.765171322964367,19099.395560095538,58.37223416144709,6617,5
55,1737,1841,0.06038774850014246,0.010646416429547756,1062,0.11015914824035535,0.5726389476923202,0.5316538067883881,0.175133484282699,28077.653198558797,5851,33141.13622045155,5896,1033,7132.085573564761,0.0,18287.39890657631,0.0,6497,0
56,1796,1952,0.0871478676790361,0.03267489846186537,1079,0.052477354765704705,0.6455810977323962,0.45932065423584195,0.1069901369598512,28485.91701955593,5969,33212.85622044799,6046,1068,7596.529457815184,55.52320235593085,19478.28066106457,106.46974963059192,6654,14
57,1886,1996,0.058672924948237636,0.0025761484517065865,1180,0.10217809194282587,0.5382195691100297,0.4970069128048408,0.2693066381522524,30100.506111353403,6303,36273.47964411543,6297,1118,7842.837987998249,0.0,20109.840994867307,0.0,7002,0
58,1823,1871,0.026731834558434007,0.007812809690527762,1107,0.07342539354251375,0.6330740818243544,0.46733954720024723,0.1414094162874613,28231.09107133028,5958,34464.16233662025,5971,1051,7156.3305979635825,17.483578941935605,18349.565635804058,34.57327933829642,6592,4
59,1733,1895,0.09392081928083917,0.025409815069942138,1122,0.047583306844203754,0.6434237275884052,0.4704320944145619,0.17294011501970621,28754.085625169842,6029,34838.13306675924,6085,1103,7556.9262604833075,41.178330385815386,19376.73400123925,79.94443688670614,6851,10
60,1807,1897,0.04992887915366461,0.05113594351260228,1102,0.07192214086362289,0.5893631779511553,0.5303420091369694,0.18028528356418774,29204.39478554205,6075,34465.75591493982,6224,1143,8007.126761344851,43.824378591521096,20531.09425985859,81.60097074748998,7178,12
61,1856,1993,0.07433821600862726,0.019443514654639112,1160,0.09448554311516855,0.5851521509408915,0.5747545673265263,0.17644980891445813,29607.487803764605,6188,35339.279029752666,6219,1126,7824.514746002947,0.0,20062.858323084474,0.0,6936,0
62,1898,1986,0.046410730005823866,0.006025016878815534,1180,0.05380152915927215,0.5358427254551497,0.591324450821924,0.2760232429788103,29341.07851622733,6225,35701.31106926666,6236,1132,7586.3887819427755,41.41578277304237,19452.278928058397,83.11739172574966,6922,9
63,1686,1869,0.10890385801956291,0.014612964197423525,1059,0.11755929441990934,0.6479510776418893,0.4981832201572914,0.15339838462398792,27677.59451597379,5847,32950.63158453911,5906,1055,7252.886700250942,23.239244804656526,18597.145385258824,44.2031918068116,6568,6
64,2010,2080,0.034890475381631064,0.0014323997528092004,1224,0.030379102575781695,0.4658408691631617,0.4447870705144639,0.31024873516273666,30353.038964484404,6471,37240.37946157955,6474,1147,7805.237595118816,39.088176719355886,20013.429731073884,77.14917107527148,7115,9
65,1816,1910,0.05208462281123425,0.008683467241146204,1121,0.06439592403147147,0.6261772325270692,0.43174146897743526,0.45515161572911694,28052.09565654931,5894,34053.48723496036,5927,1082,7666.1342890380565,31.647429154089842,19656.754587277064,63.19853629253805,6665,7
66,2041,2123,0.04031910731028864,0.00923646417708366,1271,0.07521418080195519,0.6143071908956179,0.5299955831642061,0.2724216209346044,32107.57895540879,6830,39114.92478689556,6857,1206,8320.439366291412,69.03589803931314,21334.459913567727,138.5535847161875,7629,15
67,2012,2160,0.07385964509625961,0.014425926635215356,1273,0.0982857419857922,0.5320381711185822,0.47810167051199864,0.2354692736132204,32801.003798223486,6838,39024.7531070365,6895,1234,8626.632209319094,19.473715432576288,22119.569767484856,39.67619341686228,7781,4
68,1805,1924,0.06601535802420595,0.009485126407014226,1101,0.20005062578759766,0.4681426370560233,0.4504063543915257,0.21235366644556006,28372.858587009647,6001,33578.08329641095,6015,1069,7536.946344302585,42.24160805905994,19325.503446929702,80.10668733092294,6613,11
69,1991,2094,0.0518430722767083,0.04100891707203172,1221,0.05976550353284962,0.5843924833704384,0.43675310723828936,0.09438700753638099,31138.13307865025,6565,37220.6067338369,6659,1217,8284.555638040627,20.1161163926608,21242.450353950324,38.75927280169435,7484,5
70,1985,2130,0.0734410446655295,0.00031766724537098627,1268,0.047439396792835035,0.6255620489086549,0.4177966031251655,0.2384743925098921,31662.14116952797,6670,38777.11025178958,6672,1189,8326.541956116947,0.0,21350.107579787044,0.0,7387,0
71,1856,1928,0.038989150610771246,0.03313034229651985,1114,0.05714557068324732,0.5451120880050515,0.5894602551964834,0.2081623325665272,28744.768519144884,6068,34658.53578205327,6153,1111,7623.462713092509,22.194117447360966,19547.34028998079,46.65158319836145,6956,4
72,1931,2043,0.058381191541497436,0.0035811387508780015,1232,0.08223673610441733,0.6018914327810538,0.5559403556498623,0.033272950493329345,30508.231116248142,6392,37156.83479069956,6410,1173,7821.732416619156,55.77675920605225,20055.72414517732,112.24810052833908,7113,12
73,1957,2214,0.13164266567916028,0.060450669967817755,1270,0.10065163950073341,0.5246478081912233,0.5221450696398964,0.23403832024965682,33384.35436039767,7041,39717.35135670384,7212,1315,9293.714235688247,0.0,23830.03650176474,0.0,8228,0
74,1960,2075,0.05916873978370298,0.007481419855778143,1170,0.11282648750477073,0.5601258573120202,0.31023001250871274,0.17532984247835823,30814.258596171272,6412,35891.596945373174,6431,1125,7644.867456357062,43.76307042725222,19602.22424706939,86.57197545449287,6992,10
75,1829,1954,0.06850750582914755,0.027757451925770855,1125,0.11279225990466649,0.5421771822463402,0.4570266506269617,0.20007062591008393,29080.602538495525,6092,34189.52546493651,6159,1120,7642.869590154072,69.49826900486437,19597.101513215566,142.30325385862656,6886,14
76,1994,2103,0.055163261865503584,0.014525329492796576,1257,0.07901310302323418,0.5257325931617589,0.565125311409917,0.13334413084674893,31878.694813188944,6664,38316.03682578137,6702,1197,8296.008596849253,63.15566882292323,21271.816914998082,123.47607390493134,7451,15
77,1922,2094,0.08967003330386848,0.04318525113350078,1181,0.12404873482626089,0.6208206537132693,0.49234276784157,0.25171185490922066,30816.045922871876,6549,36362.81697731857,6663,1213,8030.538684973154,51.56051071743981,20591.124833264497,104.00130953189694,7421,11
78,1912,2013,0.053212776059269225,0.011530155524090743,1157,0.07174488529444943,0.5543721429940145,0.5730235334281003,0.015452672018199443,29863.123079071054,6278,35528.666986603814,6329,1116,7665.672867188814,70.25808847711791,19655.571454330293,146.8156114797895,6926,13
79,1568,1672,0.06681514605325775,0.011935124131850647,982,0.041546749763962616,0.5532727200820684,0.4388604785239152,0.1571399404589182,25424.42236831109,5347,30664.549952322028,5382,947,6561.662507665287,47.80461447100093,16824.775660680225,96.9349089000024,5959,10
80,2089,2231,0.0680311063567105,0.022979113309963876,1293,0.05732283348702024,0.6448393314634022,0.44236288736520335,0.13699274169218312,32806.29738542401,6914,39338.99628216173,6957,1278,8934.468725950628,0.0,22908.894169104173,0.0,7839,0
81,1764,1843,0.044810551037060095,0.014701043023958296,1069,0.07738730468071277,0.5836485565957131,0.5444714384493665,0.1945054784684972,27619.131067163777,5823,32414.19238264822,5846,1036,6769.027274839507,62.837621361984446,17356.48019189617,125.22467015893449,6396,14
82,1984,2061,0.03926841777160572,0.011043539439311953,1234,0.11653128805277813,0.6380457472093098,0.536367082911067,0.10393777853628837,30930.97409612527,6515,37989.571826681924,6526,1196,8476.74756985914,0.0,21735.250179126,0.0,7416,0
83,1984,2064,0.04057730722587484,0.026263201901579162,1233,0.105707779732436,0.5922903868956685,0.4184140630112784,0.12908559982192358,31055.603367809068,6509,37460.508923191235,6599,1211,8275.974150681915,48.47289487040365,21220.44654021004,101.21255094975294,7461,9
84,1886,1994,0.057361347397135776,0.015194525711509685,1124,0.054746740940848436,0.6528826896754442,0.5712962918296601,0.04795862728371342,29471.366080101634,6211,34786.293885168714,6233,1085,7683.008619458484,16.114631430074546,19700.0221011756,31.063157513011653,6805,4
85,1917,2215,0.155472029671836,0.026654358745146323,1288,0.06175274902018337,0.5370251565733735,0.4461764347611969,0.0399509579228548,32750.89094175806,6958,39393.48692135694,7075,1256,8665.217927354155,20.012054539097917,22218.507506036294,41.056550100251066,7856,4
86,1840,1946,0.05772039184897951,0.025187985709700312,1078,0.06838678872627697,0.6400379210682813,0.38234024493161234,0.2261360439355833,27811.216352577314,5881,32805.56788913843,5932,1061,7408.079060768638,0.0,18995.074514791377,0.0,6531,0
87,1937,2076,0.07182066606976384,0.012197506857900116,1214,0.0907686936212533,0.5734579604901203,0.5523172765139099,0.126351127116673,30946.44530101798,6461,36838.14355732688,6505,1160,8242.828764918233,49.933242769410725,21135.458371585213,102.39293017797621,7172,10
88,1910,2155,0.12872569578308787,0.027487754594536954,1268,0.06486304318615825,0.5570864983192035,0.48566645257126756,0.2991071423176289,32342.11530531694,6829,38607.502829392855,6895,1242,8355.999779994108,63.09915749222662,21425.640461523355,125.89527562109389,7664,14
89,1730,1844,0.06614983946347,0.008516918678699725,1098,0.08227310478732608,0.5065388740678457,0.4891152493851175,0.148475258072214,27918.661405248924,5846,33511.61574949243,5866,1070,7287.809521434125,42.206131292103535,18686.691080600318,80.01572126180392,6577,11
90,1877,2003,0.06726228538067511,0.004905184366831929,1214,0.14257726440917623,0.6411155657145975,0.5071821297162298,0.11806318311175604,30470.541152708163,6358,36776.97175695559,6393,1155,8035.14433137416,17.645276131238553,20602.934183010668,32.42378495189372,7183,5
91,1839,1922,0.045438052219931344,0.008998825554747247,1151,0.07903609706557616,0.6215580765668965,0.5817898024864085,0.12053799491805754,29211.119967186867,6101,35481.844696448614,6130,1117,7694.73601654899,36.00156423405082,19730.09235012561,69.23478008730979,6933,9
92,1923,2072,0.07767927253624725,0.03138588117163299,1186,0.08558093724947605,0.5737083106594455,0.5590587407007611,0.3030171554826413,31043.11608057835,6495,36412.0559664084,6577,1184,8175.723435266766,68.41068217407656,20963.393423760936,144.6427748053245,7351,12
93,2063,2261,0.09641501137782095,0.024181723921575565,1355,0.11293610671063058,0.5850834013300387,0.5402300548682285,0.15242324887345912,34738.002666009605,7290,42026.68281339209,7377,1340,9631.763836620474,17.0536860923515,24696.8303503089,30.906887416285898,8447,5
94,1974,2221,0.12525144117754508,0.0013007459534653937,1373,0.08603721297873951,0.5637406520472797,0.594205673846356,0.0727776280784635,33733.28838419655,7162,42312.83064396533,7209,1312,9083.797392447686,0.0,23291.788185763296,0.0,8236,0
95,1833,1929,0.052440911772895844,0.04335263186552628,1109,0.07433379833778357,0.5636786713548069,0.5930246432844967,0.23884720720809588,29012.58871548441,6094,34312.04690948837,6202,1110,7619.328618553542,22.60110227749651,19536.740047573185,45.13103148076027,6896,5
96,1906,2028,0.06415482456368449,0.020624432242202607,1182,0.12619878823282282,0.5564222491176734,0.4242569908456316,-0.006324202983737731,29957.220004903407,6342,36095.625980683035,6404,1165,7693.630017598603,42.142505830740966,19727.25645538103,82.41668161728452,7112,10
97,1724,1834,0.0640880730132725,0.01048763050953437,1065,0.07239585647002465,0.6047653099686239,0.5270246946413278,0.13836187094829544,27240.394420827113,5750,32918.241628043455,5779,1023,7005.997286311711,23.445736241736324,17964.09560592746,47.296759594195706,6399,5
98,1947,2168,0.11351510286377427,0.05179155252354005,1257,0.049209421458284046,0.6435033863118477,0.5974647740764926,0.16564672979334485,32980.52413651888,6911,38927.896951110204,7042,1292,8627.999699454173,94.30252078596561,22123.0761524466,193.08338663068105,7968,19
99,1885,2167,0.14972079255451679,0.026899506963803128,1231,0.1136169677642442,0.5033592487022202,0.5616302596336613,0.17257083606980422,32094.97616511224,6690,37870.22864771887,6769,1236,8773.305260757044,44.55417654636001,22495.654514761653,91.16455524707695,7682,9
100,1725,1851,0.07319331388434955,0.007809936797301121,1057,0.08367149434987307,0.6386077539307314,0.4339174359946986,0.14850806631109864,27239.616758156975,5722,32657.397265783333,5744,1008,7398.699535046646,26.936888734884818,18971.024448837554,56.248432653550815,6370,5
101,2170,2342,0.07931456299682942,0.0072388228190094555,1380,0.10228564704396542,0.6705901418689708,0.4511169376519485,0.12981194410382796,34509.30773521764,7298,42333.81618005788,7342,1322,9517.602638430646,69.03776794432167,24404.109329309344,146.25068703672224,8271,12
102,2066,2245,0.08710549831218024,0.051016754011346796,1262,0.0413231952120576,0.5919647432871381,0.45843215358048595,0.12935390156954935,33403.28973702401,7029,39477.64998917042,7166,1296,9074.540629810574,0.0,23268.052896950187,0.0,8108,0
103,1775,1879,0.05910245292864256,0.039095595544781744,1063,0.10147701694918565,0.615564047194379,0.31486848290994374,0.21580610325224747,28404.462840488985,5922,33287.825763914145,6021,1077,7528.177232879873,51.8405167159043,19303.01854584583,104.71927363052384,6776,11
104,1858,1969,0.05989273337138968,0.010353243875719514,1138,0.0836813238099421,0.5761006079497222,0.5845761094292783,0.30883960072015937,29262.262462903338,6190,35523.09514925488,6219,1107,7679.91001819865,22.526358186332555,19692.076969740127,39.81117483675014,6918,7
105,1875,1973,0.05273028731174473,0.007052387364245598,1188,0.1036987114971309,0.6398803768917661,0.5390400104395775,0.1035480956620651,29823.308158084314,6297,36896.880531600546,6319,1131,7940.268745202993,43.91668849820336,20359.663449238444,92.09407307231629,7108,8
