iteration,mau_month0,total_customers_month0,new_signups_percentage_month0,existing_customer_uptake_percentage_month0,total_late_signups,new_customer_uptake_percentage_month0,probability_membership_new_signup_active_next_month0,probabillity_membership_existing_active_next_month0,probability_standard_active_next_month0,counterfactual_ride_revenue_month0,counterfactual_number_rides_taken_month0,total_membership_revenue_month0,treatment_world_number_rides_taken_month0,num_customers_riding_over_breakeven,total_membership_revenue_riders_over_breakeven,total_standard_revenue_riders_over_breakeven,total_membership_ride_mintues_riders_over_breakeven,total_standard_ride_mintues_riders_over_breakeven,num_membership_rides_riders_over_breakeven,num_standard_rides_riders_over_breakeven
0,2076,2276,0.0966186954551436,0.03527988184522119,2184,0.061806885155676214,0.6740135350641752,0.5590349694440436,0.23791404787067283,33515.278913360744,6983,48036.94687520922,6814,2271,14527.210594604796,91.22539859555201,37249.25793488409,182.62922716808202,10785,20
1,2062,2180,0.05763889999809399,0.013044713595350622,2142,0.04567360360865146,0.46398127667366484,0.536289606898186,0.24373618140613246,32639.07465564007,6798,48059.18762515144,6728,2178,14390.570028301234,125.00263944447886,36898.8975084647,256.41702421661245,10735,25
2,1858,2006,0.0799074515093261,0.004084743895080389,1980,0.11340305917439487,0.5312009863927738,0.5565240030488449,0.1888580067172372,28977.85829853116,6106,42852.16063996657,6055,2003,12593.02848857007,47.601560631388715,32289.816637359152,96.41425802920182,9608,10
3,2078,2226,0.07125353255552855,0.01793394904055952,2178,0.06921575865611078,0.4603649757244941,0.5169589834829551,0.06195913844224005,33713.391742453765,7148,49415.08631631453,7032,2224,14307.019119726125,5.816097916043192,36684.66440955416,9.784866451392798,10966,2
4,1905,2043,0.07271464928308928,0.02998385284720654,1974,0.07208287689921714,0.5790127242109897,0.5884591014225312,0.1679334333366843,30292.204523932756,6350,43728.349184074934,6224,2041,12940.177822520986,78.54828979758406,33179.94313466919,162.94433281431805,9853,15
5,1944,2059,0.05950030462351103,0.036139467276776284,1974,0.08488343492934945,0.6514519046882792,0.4613995564889838,0.3437628489722642,30619.010587469224,6474,44067.598578708734,6303,2055,13364.538406243468,101.10254356577813,34268.04719549607,207.9552399122516,10032,20
6,1868,2017,0.08017162082662616,0.07535906246361827,1858,0.1178927173461358,0.6400714180649971,0.49055462302718855,0.2803201354753826,30779.253386356708,6414,42031.75413603362,6085,2009,12928.320188566078,17.28645056727463,33149.53894504122,34.06782196737085,9683,4
7,2069,2184,0.055847461591789785,0.07857569503905196,2009,0.07837240118380706,0.5380460098853008,0.49786544970912616,0.14657624100230462,32548.045148546575,6830,44801.565686144895,6453,2172,14200.132967841322,76.45860710965466,36410.59735343928,155.022069511935,10302,16
8,1909,2093,0.09681420034931493,0.010831414869768685,2061,0.04847206594206263,0.5536658503958419,0.5939471134754498,0.32767669904371466,31113.143312051125,6553,45653.79362267915,6503,2090,13001.504883723184,45.505651536311035,33337.19200954662,91.04013214438726,10127,10
9,1900,2019,0.06275920444471535,0.004877930949471626,2000,0.06019765817936027,0.5963971733761034,0.5418401219331885,0.1965483390668643,30436.842472150092,6381,44833.000571276396,6341,2019,13095.551908280573,25.55401833032974,33578.33822636044,50.13850853930703,9950,6
