iteration,mau_month0,total_customers_month0,new_signups_percentage_month0,existing_customer_uptake_percentage_month0,total_late_signups,new_customer_uptake_percentage_month0,probability_membership_new_signup_active_next_month0,probabillity_membership_existing_active_next_month0,probability_standard_active_next_month0,counterfactual_ride_revenue_month0,counterfactual_number_rides_taken_month0,total_membership_revenue_month0,treatment_world_number_rides_taken_month0,num_customers_riding_over_breakeven,total_membership_revenue_riders_over_breakeven,total_standard_revenue_riders_over_breakeven,total_membership_ride_mintues_riders_over_breakeven,total_standard_ride_mintues_riders_over_breakeven,num_membership_rides_riders_over_breakeven,num_standard_rides_riders_over_breakeven
0,2076,2276,0.0966186954551436,0.03527988184522119,773,0.061806885155676214,0.6740135350641752,0.5590349694440436,0.23791404787067283,33108.02090956617,6983,26944.50701589614,7206,794,5439.217614001591,26.268767819166513,13946.71183077331,49.40709697222183,5500,7
1,2062,2180,0.05763889999809399,0.013044713595350622,769,0.04567360360865146,0.46398127667366484,0.536289606898186,0.24373618140613246,32339.758842393723,6798,27369.934679887905,6868,745,5375.400262020139,37.471146483695605,13783.077594923432,75.56704226588616,5250,8
2,1858,2006,0.0799074515093261,0.004084743895080389,704,0.11340305917439487,0.5312009863927738,0.5565240030488449,0.1888580067172372,29317.919725954103,6106,24528.14428935896,6144,674,4478.151803794755,25.9452050451656,11482.440522550656,51.14155139786052,4615,6
3,2078,2226,0.07125353255552855,0.01793394904055952,840,0.06921575865611078,0.4603649757244941,0.5169589834829551,0.06195913844224005,34068.94015060473,7148,30051.87028755745,7258,834,5866.695037298112,0.0,15042.807787943872,0.0,5831,0
4,1905,2043,0.07271464928308928,0.02998385284720654,729,0.07208287689921714,0.5790127242109897,0.5884591014225312,0.1679334333366843,30096.204203127043,6350,25513.76780948962,6509,735,5012.784157432197,35.89976384563848,12853.292711364607,74.10195857856021,5123,7
5,1944,2059,0.05950030462351103,0.036139467276776284,736,0.08488343492934945,0.6514519046882792,0.4613995564889838,0.3437628489722642,31036.87786582759,6474,25863.777064953476,6669,754,5070.295749632192,44.225136951790084,13000.758332390236,92.88496654305149,5288,8
6,1868,2017,0.08017162082662616,0.07535906246361827,713,0.1178927173461358,0.6400714180649971,0.49055462302718855,0.2803201354753826,30443.017615586446,6414,25871.56416651421,6771,805,5613.803285876404,0.0,14394.367399683084,0.0,5719,0
7,2069,2184,0.055847461591789785,0.07857569503905196,738,0.07837240118380706,0.5380460098853008,0.49786544970912616,0.14657624100230462,32358.3247441082,6830,26688.356382369246,7197,847,5914.3990180493265,0.0,15165.125687305965,0.0,5929,0
8,1909,2093,0.09681420034931493,0.010831414869768685,771,0.04847206594206263,0.5536658503958419,0.5939471134754498,0.32767669904371466,31197.3351773965,6553,27010.865240899322,6626,737,4974.946303817798,24.5073140157859,12756.27257389179,50.01875388663051,5119,5
9,1900,2019,0.06275920444471535,0.004877930949471626,748,0.06019765817936027,0.5963971733761034,0.5418401219331885,0.1965483390668643,30482.95588628787,6381,26226.724108404174,6405,721,4635.7859908781,50.89397296201047,11886.630745841281,104.85634092823196,4940,10
