iteration,mau_month0,total_customers_month0,new_signups_percentage_month0,existing_customer_uptake_percentage_month0,total_late_signups,new_customer_uptake_percentage_month0,probability_membership_new_signup_active_next_month0,probabillity_membership_existing_active_next_month0,probability_standard_active_next_month0,counterfactual_ride_revenue_month0,counterfactual_number_rides_taken_month0,total_membership_revenue_month0,treatment_world_number_rides_taken_month0,num_customers_riding_over_breakeven,total_membership_revenue_riders_over_breakeven,total_standard_revenue_riders_over_breakeven,total_membership_ride_mintues_riders_over_breakeven,total_standard_ride_mintues_riders_over_breakeven,num_membership_rides_riders_over_breakeven,num_standard_rides_riders_over_breakeven
0,2076,2276,0.0966186954551436,0.03527988184522119,407,0.061806885155676214,0.6740135350641752,0.5590349694440436,0.23791404787067283,33411.720481740034,6983,16564.071449950578,7291,454,3151.6258880109235,37.101499576509966,8081.09202054083,74.61922968335888,3554,8
1,2062,2180,0.05763889999809399,0.013044713595350622,418,0.04567360360865146,0.46398127667366484,0.536289606898186,0.24373618140613246,32398.271606366758,6798,17026.315249788364,6905,408,2971.6639835372725,27.21890954407228,7619.651239839159,54.4074603694161,3232,6
2,1858,2006,0.0799074515093261,0.004084743895080389,363,0.11340305917439487,0.5312009863927738,0.5565240030488449,0.1888580067172372,29168.83816651637,6106,14451.618178961366,6178,347,2314.573102122259,0.0,5934.802825954512,0.0,2694,0
3,2078,2226,0.07125353255552855,0.01793394904055952,472,0.06921575865611078,0.4603649757244941,0.5169589834829551,0.06195913844224005,34056.3155667478,7148,19021.712633020757,7314,478,3303.24687503971,33.21675423258718,8469.863782153101,69.7865493143261,3741,6
4,1905,2043,0.07271464928308928,0.02998385284720654,391,0.07208287689921714,0.5790127242109897,0.5884591014225312,0.1679334333366843,30107.59309211089,6350,15728.1593845387,6579,412,2908.1183265561476,28.45008961132117,7456.713657836275,57.56433233672095,3236,6
5,1944,2059,0.05950030462351103,0.036139467276776284,409,0.08488343492934945,0.6514519046882792,0.4613995564889838,0.3437628489722642,30752.33779559266,6474,16429.047714985725,6742,441,3004.8441531327467,39.77023652707666,7704.728597776273,84.02624750532476,3513,7
6,1868,2017,0.08017162082662616,0.07535906246361827,393,0.1178927173461358,0.6400714180649971,0.49055462302718855,0.2803201354753826,30415.770147633637,6414,16622.266760631366,6953,513,3602.297226936499,0.0,9236.659556247434,0.0,4139,0
7,2069,2184,0.055847461591789785,0.07857569503905196,409,0.07837240118380706,0.5380460098853008,0.49786544970912616,0.14657624100230462,32257.439864184704,6830,17214.16603045443,7375,535,3795.5890799973904,0.0,9732.279692301001,0.0,4234,0
8,1909,2093,0.09681420034931493,0.010831414869768685,419,0.04847206594206263,0.5536658503958419,0.5939471134754498,0.32767669904371466,31419.570062400122,6553,16965.66784185851,6651,411,2979.782693223892,0.0,7640.468444163825,0.0,3253,0
9,1900,2019,0.06275920444471535,0.004877930949471626,407,0.06019765817936027,0.5963971733761034,0.5418401219331885,0.1965483390668643,30125.857789822105,6381,16438.929236718628,6419,391,2784.11365435212,0.0,7138.752959877231,0.0,3066,0
10,2033,2218,0.09136396810240158,0.009880780033695588,461,0.055247069505648234,0.6234175594593598,0.4655027014695642,0.1853368656156947,33557.71144058633,7025,18376.85328538517,7133,445,3202.988128797011,0.0,8212.790073838489,0.0,3467,0
11,2074,2203,0.062299908008445065,0.01591771417660684,414,0.09819476867103274,0.4562159107383469,0.41407684770837505,0.20113247608036564,32509.67492952373,6903,16898.816016085522,7062,414,2932.0525445875937,56.98365144880887,7518.083447660497,125.5991062789971,3262,8
12,1947,2051,0.053465061334546315,0.017806829001991938,396,0.046490916947005925,0.6310692444926181,0.4302926629095073,0.2916747952514771,30404.11998597292,6376,16098.015979773108,6555,387,2857.696381744431,0.0,7327.426619857515,0.0,3095,0
