iteration,control1_world_revenue,control2_world_revenue,control3_world_revenue,treatment_world_revenue,control1_world_rides_count,control2_world_rides_count,treatment_world_rides_count,standard_rider_revenue,subscription_revenue,early_membership_signup_revenue,standard_late_signup_revenue,membership_late_signup_revenue,control_world_rides_count,standard_rides_count,early_membership_rides_count,standard_late_signup_rides_count,membership_late_signup_rides_count,total_control_ride_minutes,total_standard_ride_minutes,early_membership_ride_minutes,standard_late_signup_ride_minutes,membership_late_signup_ride_minutes,avg_total_control_ride_minutes,avg_total_standard_ride_minutes,avg_early_membership_ride_minutes,avg_standard_late_signup_ride_minutes,avg_membership_late_signup_ride_minutes
0,30793.553167434344,30748.465596583508,40918.47759812977,42941.75855123205,6501,6525,15946,5614.000856053812,4843.860000000002,0.0,24692.602959669966,7791.294735508272,6794,1190,0,7378,7378,62288.597865216274,11343.591938599518,0.0,49940.00758889735,19977.67880899557,30.653837532094624,14.358977137467745,,41.13674430716421,16.456078096371968
1,30764.776976248762,30895.984741648594,41458.00567282412,42064.09503494361,6499,6549,15515,5915.83867915815,4708.200000000001,0.0,23678.219707624077,7761.836648161385,6794,1251,0,7132,7132,62219.94096474041,11961.12481835423,0.0,47969.794122113024,19902.14525169586,30.043428761342543,14.748612599696955,,40.65236790009578,16.86622478957276
2,27925.120905237996,27759.643637115823,37437.941260721425,39540.314499574364,5847,5860,14720,5327.9897309777325,4460.8200000000015,0.0,22278.574941004248,7472.929827592385,6794,1140,0,6790,6790,56610.56642368717,10738.435207635212,0.0,45134.807541036535,19161.358532288166,30.32167457080191,14.550725213597847,,40.371026423109605,17.13896112011464
3,29678.584777377524,29563.85852917609,39689.9214416471,40819.89107244233,6248,6339,15042,6085.9852766754575,4580.520000000001,0.0,22563.25101507607,7590.134780690798,6794,1252,0,6895,6895,60078.42250609621,12394.834042757582,0.0,45531.4128591694,19461.884053053327,29.624468691368943,15.152608854226873,,39.6615094592068,16.9528606733914
4,32925.64460212616,32655.733529065903,43585.4010858643,44242.09609165626,6884,7033,16295,6389.3782421170245,4951.59,0.0,25011.227580907456,7889.900268631781,6794,1339,0,7478,7478,66773.44769775937,12949.68780030006,0.0,50613.40405360887,20230.51350931226,30.227907513698224,14.816576430549269,,40.7843707120136,16.30178364972785
5,30941.57805128257,31605.42777867881,41807.55146997425,43194.71483962894,6572,6663,15720,5812.726504875057,4899.720000000001,0.0,24928.956000172606,7553.312334581278,6794,1214,0,7253,7253,62486.0975673912,11791.606422756555,0.0,50622.96410300668,19367.46752456738,30.186520563957103,15.02115467867077,,41.22391213599892,15.771553358768223
6,34738.002666009605,34468.55007971733,46740.3139163378,47971.80746215868,7290,7377,17817,6228.414648766598,5406.450000000001,0.0,27197.148838617508,9139.793974774577,6794,1309,0,8254,8254,70379.49401540923,12613.883714786147,0.0,54992.689329788474,23435.36916608866,31.12759576090634,15.10644756261814,,40.58501057548965,17.295475399327426
7,27811.216352577314,27967.060640088763,37427.1397008574,38487.37271381986,5881,5932,14095,5893.274824681428,4301.220000000001,0.0,21289.2195527797,7003.658336358731,6794,1243,0,6426,6426,56231.32398096747,11923.78160174725,0.0,43108.25526353769,17958.09829835572,28.895849938832203,14.63040687330951,,39.98910506821678,16.658718273057254
8,30304.630678742276,30353.670184949795,40687.35498397233,42282.58373501261,6402,6464,15703,5861.9884857765355,4708.200000000001,0.0,23941.2812038722,7771.114045363873,6794,1227,0,7238,7238,61288.796612159684,11884.585860965475,0.0,48416.105650954356,19925.933449650955,30.59850055524697,15.19768012911186,,41.03059800928335,16.886384279365217
9,30629.112049081028,30535.81046409441,40713.533032985826,42852.51396579041,6477,6517,15834,6059.655406563637,4839.870000000002,0.0,24124.75703190022,7828.231527326548,6794,1302,0,7266,7266,61928.49243354109,12199.11642708625,0.0,48773.73597923132,20072.388531606535,29.602529843948897,14.28467965700966,,40.20918052698378,16.547723439082056
