iteration,control1_world_revenue,control2_world_revenue,control3_world_revenue,treatment_world_revenue,adjusted_treatment_world_revenue,control1_world_rides_count,control2_world_rides_count,treatment_world_rides_count,standard_rider_revenue,subscription_revenue,early_membership_signup_revenue,standard_late_signup_revenue,membership_late_signup_revenue,late_signup_unused_membership_revenue,early_signup_unused_membership_revenue,standard_rides_count,early_membership_rides_count,standard_late_signup_rides_count,membership_late_signup_rides_count,total_control_ride_minutes,total_standard_ride_minutes,early_membership_ride_minutes,standard_late_signup_ride_minutes,membership_late_signup_ride_minutes,avg_total_control_ride_minutes,avg_total_standard_ride_minutes,avg_early_membership_ride_minutes,avg_standard_late_signup_ride_minutes,avg_membership_late_signup_ride_minutes,relative1_revenue_lift,relative2_revenue_lift,relative3_revenue_lift,adj_relative1_revenue_lift,adj_relative2_revenue_lift,adj_relative3_revenue_lift
0,30628.760156842684,30926.12682497295,37739.84492020155,39623.72535954148,37139.24535954148,6501,6551,13195,11830.107032109892,4051.8800000000006,0.0,18620.92461481865,5120.813712612939,2483.4900000000007,0.9900000000000002,2485,0,5355,5355,61866.05168421201,23961.812902845875,0.0,37692.114396970894,13130.291570802405,30.44589157687599,19.640830248234323,,48.07667652674859,16.747820881125516,0.29367709161708455,0.281237886134037,0.04991754585434244,0.21256117352971943,0.20090192896549244,-0.015914203196382995
1,30910.76544958818,30804.301518318975,37556.16153850782,38154.62706587893,35794.75706587893,6499,6658,12504,12127.283862333497,4061.86,0.0,17277.17866903104,4688.304534514389,2355.9100000000008,3.960000000000001,2586,0,4959,4959,62594.270383559444,24464.830416239736,0.0,34979.94530520779,12021.293678242026,30.224176911424163,19.462872248400746,,47.65660123325312,16.37778430278205,0.23434753267772146,0.2386136086607514,0.015935215497395284,0.1580029334522939,0.16200515192958306,-0.04690054575526453
2,27806.43813536736,27734.015027929294,33721.60785631094,35702.11191668382,33542.75191668382,5847,5872,11796,11419.516976587727,3497.9900000000002,0.0,16178.307501614589,4606.297438481501,2157.3800000000006,1.9800000000000004,2426,0,4685,4685,56306.25162914708,23060.29993996853,0.0,32790.53205542202,11811.019073029489,30.158677894561908,19.77727267578776,,47.522510225249306,17.117418946419548,0.2839512828963826,0.2873041238612701,0.05873100917405484,0.20629444711296438,0.20944449921530967,-0.0053038971447991155
3,29656.464935019205,29517.754560296467,35751.09200431264,37044.32080960704,34658.420809607036,6248,6404,12128,11820.312940824064,3947.0900000000006,0.0,16789.048453344494,4487.8694154384775,2383.920000000001,1.9800000000000004,2508,0,4810,4810,60021.704961587704,23877.725489292472,0.0,33946.27808549871,11507.357475483275,29.596501460348968,19.30293087250806,,46.56553921193238,15.78512685251478,0.2491145148545348,0.25498437673963015,0.03617312738694519,0.1686632538823391,0.1741550577232978,-0.030563295649089387
4,32777.92868289922,32748.149421010472,40017.27025424774,41076.84940183156,38421.79940183156,6884,7132,13480,12432.547815576454,4540.9,0.0,18994.35458871793,5109.046997537176,2648.120000000001,6.9300000000000015,2612,0,5434,5434,66394.68893051083,25180.891834811417,0.0,38449.62715055881,13100.12050650558,30.05644587166629,19.384828202318257,,47.119641115880896,16.054069248168602,0.2531862461236614,0.2543258207890545,0.0264780466246657,0.17218509361992843,0.17325101054965264,-0.03986955737558905
5,31101.807876570838,31230.431120421177,37871.87270867957,39386.539125943666,36854.08912594367,6572,6724,12891,12249.496380882807,4141.700000000001,0.0,18136.2433401354,4859.099404925457,2527.5000000000005,4.950000000000001,2581,0,5155,5155,62896.94327325856,24791.01636123797,0.0,36710.88035932154,12459.229243398608,30.384996750366454,19.99275513003062,,47.491436428617774,16.118019719791214,0.2663745876847809,0.2611589950223042,0.039994494830380034,0.18495006053027727,0.1800698166425648,-0.026874392786566458
6,34763.15912791131,34423.29796472854,42361.04513012944,43769.27632489317,40975.72632489317,7290,7456,14516,12946.672848168428,4710.56,0.0,20396.96305511343,5715.080421611314,2791.570000000001,1.9800000000000004,2754,0,5881,5881,70443.99776387517,26135.05858504725,0.0,41261.44373106007,14654.052363105931,31.156124619139838,19.844387687962982,,47.26396761862551,16.785856086031995,0.2590707353104412,0.2715015385725357,0.033243542278944535,0.17871123778258094,0.19034865186010086,-0.0327026587984477
7,27584.364196635852,27860.239907998755,33869.33178430191,35051.53022692184,32944.04022692184,5881,5987,11339,11662.586757622463,3557.870000000001,0.0,15422.721394278193,4408.352075021181,2099.5700000000006,7.920000000000002,2497,0,4421,4421,55649.65178624577,23501.504506724268,0.0,31281.336908405625,11303.466859028667,28.59694336394952,19.06042539069284,,47.39596501273579,17.126464937922222,0.27070285097224284,0.2581201864259052,0.034904687525245594,0.19430123500688284,0.1824751091774881,-0.027319451215418847
8,30414.333690071064,30309.554424793314,36726.9936475677,38498.98029592889,36030.310295928895,6402,6492,12671,11888.486120039306,3962.0600000000004,0.0,17838.316725765253,4810.117450124336,2463.720000000001,4.950000000000001,2509,0,5081,5081,61570.08638479759,24049.96441035719,0.0,36054.65827119296,12333.634487498297,30.738934790213477,19.89244368102332,,47.88135228578082,16.379328668656438,0.26581698906318996,0.2701928822957754,0.04824752783647849,0.18464901000580525,0.18874430784954016,-0.018969245300178437
9,30630.678561644316,30710.510302108065,36857.98116990516,38878.530222152796,36499.6802221528,6477,6540,12723,12827.46598491058,3812.3600000000006,0.0,17560.35690759607,4678.347329646149,2377.8600000000006,0.9900000000000002,2723,0,5000,5000,61932.50913242133,25908.88714079636,0.0,35585.53053229762,11995.762383708072,29.604449872094325,19.509704172286416,,48.15362724262195,16.23242541773758,0.26926767697652076,0.26596822520021923,0.054819851443665996,0.19160534262070303,0.1885077734982263,-0.00972112243751741
10,28991.61138755447,28741.729680835928,35232.742465278745,37083.12690506426,34723.20690506426,6082,6161,12246,11448.370790580164,3797.3900000000003,0.0,16919.513276110076,4917.852838374023,2358.930000000001,0.9900000000000002,2388,0,4929,4929,58742.593301421715,23231.719975846572,0.0,34111.57250284635,12609.879072753905,30.357929354739905,19.788517866990265,,46.53693383744386,17.203109239773404,0.27909850919784746,0.29021904098520934,0.05251888755492239,0.1976984114780958,0.20811124767541708,-0.014461989744812598
11,31454.34856391659,31756.433314208807,38522.09388607045,39869.31756923091,37445.62756923091,6688,6818,12995,12971.422458800349,4031.9200000000005,0.0,17927.6786962721,4938.296414158462,2420.7200000000003,2.9700000000000006,2715,0,5140,5140,63503.45785619638,26298.519125129103,0.0,36263.27870839002,12662.29849784221,30.025275582125946,20.12128471700773,,48.03083272634439,16.77125628853273,0.2675295909630664,0.2554721487375645,0.03497275322428969,0.19047538031632674,0.1791509203420706,-0.027944127856164926
12,31842.596378335074,31712.072997756142,38714.021440009776,40144.4183829527,37644.9783829527,6636,6732,13209,12161.800792668073,4181.620000000001,0.0,18665.943294374418,5135.054295910212,2497.460000000001,1.9800000000000004,2539,0,5335,5335,64632.29840598736,24673.84818632839,0.0,37833.18793429338,13166.80588694926,31.13309171772031,19.93041048976445,,48.318247681089886,16.81584404463507,0.2607143558892071,0.2659033165631654,0.03694777472703094,0.18222075661410025,0.18708664632603345,-0.027613846800018854
13,33337.922299081096,33137.6870178798,40039.44052282671,41925.64847461353,39233.658474613534,6948,7023,13754,13075.45393410352,4311.360000000001,0.0,19423.886658479263,5114.947882030748,2690.010000000001,1.9800000000000004,2742,0,5506,5506,67666.46743354127,26496.03572847056,0.0,39348.42732943401,13115.250979566019,30.897930334950352,19.98192739703662,,47.75294578814807,15.916566722774295,0.25759632224498713,0.26519537866333565,0.04710874895246053,0.17684773881949278,0.1839588699550632,-0.020124707980217614
14,29556.875355772685,29903.886750607064,36691.84395674808,38352.04695388387,36012.14695388387,6249,6311,12529,12121.685888237454,3867.250000000001,0.0,17271.074684414813,5092.036381231605,2336.9300000000007,2.9700000000000006,2533,0,4998,4998,59763.782963519705,24586.37407240373,0.0,35018.14021644824,13056.503541619499,29.777669638026758,19.956472461366666,,47.06739276404333,17.54906390002621,0.29756770606651506,0.28251043998838404,0.04524719441990486,0.2184016923443304,0.20426308640808397,-0.018524471096776407
15,32505.757230616833,32163.22234199827,38779.75874403736,40287.74854789791,37757.35854789791,6760,6883,13075,12982.190013081054,4136.710000000001,0.0,18300.562166501368,4868.286368315485,2526.4300000000007,3.960000000000001,2735,0,5170,5170,66014.76212978674,26274.846187387317,0.0,37093.7491448753,12482.785559783293,31.095036330563705,20.305136157177216,,47.98673886788525,16.148493609034013,0.23940347742311008,0.25260299230934796,0.038886002716363194,0.1615591133602218,0.17392959406915198,-0.026364274282563813
16,31020.485770256368,31161.97954692754,37805.029363497444,40018.9125428649,37574.3325428649,6525,6543,13125,12692.488123603107,3912.1600000000008,0.0,18276.1024383828,5138.161980878993,2444.580000000001,0.0,2671,0,5227,5227,62808.937872452225,25696.123393854126,0.0,37097.6985599559,13174.774309946135,29.90901803450106,19.52592963058824,,48.05401367869935,17.065769831536443,0.29008013734061405,0.28422241220585803,0.05856054648393063,0.2112747950224754,0.20577489264701063,-0.006102278572895279
17,28049.882539884944,27784.417808879756,34027.32931620575,35565.45320273706,33294.403202737056,5915,6016,11766,10899.91585010997,3742.500000000001,0.0,16313.939875502558,4609.097477124533,2267.090000000001,3.960000000000001,2320,0,4723,4723,56756.10907662806,21999.784231051202,0.0,32945.999680775785,11818.198659293676,29.950453338590005,19.21378535462987,,46.66572192744445,16.739658157639767,0.26793590497805136,0.28005033063426377,0.04520260383170195,0.18697121656016832,0.19831206943973959,-0.02153933700343728
18,30896.60806490748,30789.23638851304,37762.57026186353,38659.120239556294,36310.26023955629,6501,6720,12647,12288.317593135962,4121.740000000001,0.0,17316.381071895812,4932.681574524517,2345.890000000001,2.9700000000000006,2595,0,5026,5026,62552.84119207045,24854.660495220414,0.0,35008.669415117474,12647.901473139787,30.13142639309752,19.88372839617633,,47.245167901643015,17.06869294620754,0.2512415653634651,0.25560503520572464,0.02374176258331091,0.1752183334583471,0.1793166865646287,-0.038458982326579856
19,30874.637780326506,31020.508749519235,37411.385711270166,39599.13575069272,37082.63575069272,6537,6555,13067,12571.36692941793,3932.1200000000003,0.0,18224.59845473295,4871.0503665418455,2515.5100000000007,0.9900000000000002,2635,0,5216,5216,62404.199436734634,25477.863921584438,0.0,36845.124242905,12489.872734722681,30.396590081215116,20.140603890580582,,47.54209579729678,16.115964818997007,0.28257814820180716,0.27654694739029523,0.058478187798413954,0.20107111910222925,0.19542319728290858,-0.008787430733377167
20,29270.412399278146,28896.385865154884,34484.174109064166,36461.29383680186,34115.11383680186,6155,6217,11974,11940.672823989113,3652.6800000000003,0.0,16617.27667877204,4250.664334040708,2345.1900000000005,0.9900000000000002,2550,0,4712,4712,59270.2882032773,24078.648266638753,0.0,33562.24789428727,10899.139318053098,30.50452300734807,19.883276851064206,,47.53859475111511,15.437874388177192,0.24567065675169822,0.2617942606023,0.057334118586821727,0.16551531189369884,0.18060140794077822,-0.010702308574799257
21,31504.708667495535,31489.705719806945,38212.10183617235,39551.24261755984,37129.63261755984,6649,6747,12884,12861.689908047048,4041.9000000000005,0.0,17675.121382420046,4972.531327092745,2414.6800000000007,6.9300000000000015,2728,0,5078,5078,63732.58632691162,25983.820277043716,0.0,35784.92662158987,12750.080325878833,30.034206563106327,19.804741064819908,,47.52314292375812,16.932377590808542,0.25540734354944794,0.2560054695170494,0.035044939090993224,0.17854232551173294,0.17910382992894697,-0.028327916199255575
22,29539.856130019012,29564.326526640907,35748.07251249468,37697.799568261726,35289.99956826172,6233,6300,12417,11819.422670132924,3827.3300000000004,0.0,17380.242413271066,4670.804484857734,2406.810000000001,0.9900000000000002,2519,0,4949,4949,59761.16956415131,23847.237615725448,0.0,35216.00618787452,11976.421756045469,30.615353260323417,20.124251152510926,,47.460924781502044,16.140730129441334,0.27616733820014927,0.2751110543408324,0.05454076034688527,0.19465712402029256,0.19366830617505582,-0.012813920081225305
23,30857.79353948727,31003.435980732364,37881.28834112546,39889.879560606685,37478.309560606685,6514,6571,13078,12955.69615598978,3942.1000000000004,0.0,17761.303823743016,5230.7795808738865,2410.580000000001,0.9900000000000002,2700,0,5189,5189,62419.98343458275,26296.656810230204,0.0,35911.03544549491,13412.25533557407,29.808970121577243,20.166147860605985,,46.69835558581913,17.44116428553195,0.29270031927465845,0.2866277010521337,0.05302330800878856,0.21454923575943474,0.20884374183230037,-0.010637937571972265
24,31577.421139718674,31389.17698209569,38399.711832851084,39476.263833892524,37020.70383389253,6628,6808,12943,12365.828464579317,4201.580000000001,0.0,17946.90616620471,4961.949203108498,2448.630000000001,6.9300000000000015,2607,0,5168,5168,63972.874717227365,25022.637088664913,0.0,36299.759400524905,12722.946674637173,30.477786906730522,19.906632528770814,,47.45066588303909,16.631302842662972,0.25014210816090166,0.25763934035000946,0.028035418748128375,0.1723789498227007,0.179409828266891,-0.03591193613538556
25,31365.617128921633,31565.418873137547,38671.86181111408,39950.057554791,37478.587554791,6620,6766,13207,12392.59184875841,4226.530000000001,0.0,18301.251319906547,5029.68438612604,2468.500000000001,2.9700000000000006,2565,0,5321,5321,63450.30033056828,25198.953458354896,0.0,37003.208512580895,12896.626631092411,30.114048566952196,19.999169411392774,,47.25824841964354,16.4707875237451,0.2736895113711573,0.26562735363505197,0.03305234565431677,0.19489399493538775,0.1873305944527037,-0.030856395333419023
